club_name,age,player_name,position,club_involved_name,season,Valore Reale,Valore Predetto
Nottingham Forest,31.0,Willy Boly,Centre-Back,Wolves,10,2.6,6.403006179784896
FC Famalicão,24.0,Enea Mihaj,Centre-Back,PAOK Salonika,10,0.2,3.6792723857725464
VfB Stuttgart,20.0,Joshua Kimmich,Defensive Midfield,RB Leipzig,3,1.5,4.837301135712719
AS Monaco,29.0,Nacer Chadli,Left Winger,West Brom,6,12.0,11.963670935701684
SS Lazio,25.0,Mattia Sprocati,Right Winger,Salernitana,6,3.25,4.7156843681086285
Levante UD,24.0,Toño García,Left-Back,Recr. Huelva,2,0.3,1.5243157295793355
Olympique Marseille,32.0,Steve Mandanda,Goalkeeper,Crystal Palace,5,3.0,1.4811486245024879
Wigan Athletic,28.0,Arouna Koné,Centre-Forward,Levante,0,3.8,7.315331788685127
Athletic Bilbao,28.0,Yuri Berchiche,Left-Back,Paris SG,6,24.0,3.6453049534383832
Real Betis Balompié,20.0,Emerson Royal,Right-Back,Barcelona,6,6.0,5.381134835776983
Manchester City,27.0,Riyad Mahrez,Right Winger,Leicester,6,67.8,28.51407132765205
FK Krasnodar,25.0,Stanislav Kritsyuk,Goalkeeper,SC Braga,4,4.0,3.6254330843370024
SV Darmstadt 98,22.0,Patrick Banggaard,Centre-Back,FC Midtjylland,4,0.6,2.749444339009786
VfL Wolfsburg,21.0,Kilian Fischer,Right-Back,1.FC Nuremberg,10,2.5,6.06169477111339
FK Orenburg,23.0,Kirill Kaplenko,Defensive Midfield,Zenit 2 S-Pb,10,0.2,3.8514327978453955
Sporting CP,20.0,Jonathan Silva,Left-Back,Estudiantes,2,2.5,1.1661038127039713
Torino FC,23.0,Davide Zappacosta,Right-Back,Atalanta BC,3,4.3,4.155579159427067
Leicester City,29.0,Vicente Iborra,Central Midfield,Sevilla FC,5,15.0,16.08456116755649
Reading FC,23.0,Nick Blackman,Centre-Forward,Sheff Utd,0,1.4,6.105974357754926
Chelsea FC,27.0,Demba Ba,Centre-Forward,Newcastle,0,8.5,15.922787753704501
Udinese Calcio,19.0,Matheus Martins,Left Winger,Fluminense,10,6.0,3.322126871981563
Granada CF,17.0,Francisco Sierralta,Centre-Back,U. Católica,2,0.253,0.3191726895002705
Valencia CF,28.0,Denis Cheryshev,Left Winger,Villarreal,7,6.0,11.356489556064176
CSKA Moscow,20.0,Ivan Oblyakov,Central Midfield,Ufa,6,4.0,3.5459523624295928
TSG 1899 Hoffenheim,21.0,Afriyie Acquah,Central Midfield,US Palermo,0,2.5,2.084338236614748
FC Barcelona,21.0,Ferran Torres,Left Winger,Man City,9,55.0,25.293695877881095
AS Saint-Étienne,19.0,Alexandros Katranis,Left-Back,Atromitos Athen,5,0.8,2.8868361189738954
Genoa CFC,20.0,Kevin Agudelo,Right Winger,Atlético Huila,7,2.5,3.2643656519181947
Stoke City,24.0,Erik Pieters,Left-Back,PSV Eindhoven,1,3.6,6.8990526334659865
West Ham United,25.0,Jordan Hugill,Centre-Forward,Preston,5,10.2,13.475716905125465
Paris Saint-Germain,22.0,Layvin Kurzawa,Left-Back,Monaco,3,25.0,32.58141713029023
Newcastle United,19.0,Ivan Toney,Centre-Forward,Northampton,3,0.36,7.64719838164769
Olympique Marseille,19.0,Isaak Touré,Centre-Back,AC Le Havre,10,5.5,4.4677886699323635
Burnley FC,24.0,Nick Pope,Goalkeeper,Charlton,4,1.3,6.556129380464539
Levante UD,26.0,Jesús Fernández,Goalkeeper,Real Madrid,2,0.5,6.527517891729586
SD Huesca,26.0,Pablo Insua,Centre-Back,FC Schalke 04,8,1.0,7.145880500972665
FK Krasnodar,20.0,Olakunle Olusegun,Left Winger,Botev Plovdiv,10,1.2,3.2325695663047727
Udinese Calcio,21.0,Alexandre Coeff,Centre-Back,Lens,1,1.0,1.9460764656378122
Bologna FC 1909,30.0,Sebastien De Maio,Centre-Back,RSC Anderlecht,5,2.0,2.401737701648528
AS Roma,26.0,Radja Nainggolan,Central Midfield,Cagliari Calcio,2,15.0,6.172816320955677
1.FSV Mainz 05,27.0,Jonas Lössl,Goalkeeper,Guingamp,4,2.5,2.602126801730656
AS Roma,30.0,Edin Dzeko,Centre-Forward,Man City,4,11.0,7.704954970066656
Olympique Marseille,21.0,Duje Caleta-Car,Centre-Back,RB Salzburg,6,19.0,4.833133993817262
AS Roma,23.0,Tammy Abraham,Centre-Forward,Chelsea,9,40.0,18.5536768714804
Levante UD,23.0,Erick Cabaco,Centre-Back,Nacional,6,2.0,5.805230868753068
Chelsea FC,22.0,César Azpilicueta,Right-Back,Marseille,0,8.8,15.22126775143266
West Ham United,31.0,Alou Diarra,Defensive Midfield,Marseille,0,2.5,6.543852246502485
FC Augsburg,28.0,Nikola Djurdjic,Centre-Forward,Greuther Fürth,2,1.3,2.664901380876161
SM Caen,26.0,Damien Da Silva,Centre-Back,Clermont Foot,2,0.3,3.5335079158068345
Arsenal FC,28.0,Mathieu Debuchy,Right-Back,Newcastle,2,15.0,13.898689725056908
Tottenham Hotspur,23.0,Sergio Reguilón,Left-Back,Real Madrid,8,30.0,24.73993707196972
Juventus FC,29.0,Filip Kostic,Left Midfield,E. Frankfurt,10,12.0,18.731092682200167
Bayer 04 Leverkusen,24.0,Admir Mehmedi,Second Striker,SC Freiburg,3,8.0,8.784829006912107
ACF Fiorentina,19.0,Marko Bakic,Central Midfield,Torino,1,2.5,4.863942187411654
AS Monaco,22.0,Keita Baldé,Centre-Forward,Lazio,5,30.0,14.436805822226951
Dynamo Moscow,18.0,Milan Majstorovic,Centre-Back,Vojvodina U19,10,1.2,2.1841914388761556
FC Groningen,20.0,Jörgen Strand Larsen,Centre-Forward,Sarpsborg 08,8,1.1,3.106071017014705
Hellas Verona,24.0,Pawel Dawidowicz,Centre-Back,Benfica,7,3.5,5.273968020801364
FC Girondins Bordeaux,24.0,Pablo,Centre-Back,Ponte Preta,3,2.0,2.352465576660791
Norwich City,23.0,Leroy Fer,Defensive Midfield,Twente FC,1,5.5,6.743867734204
West Ham United,25.0,Maxwel Cornet,Left Winger,Burnley,10,20.7,17.380709803705532
Paris Saint-Germain,22.0,Serge Aurier,Right-Back,Toulouse,3,10.0,19.439873714704348
Sporting CP,20.0,Idrissa Doumbia,Defensive Midfield,Akhmat Grozny,6,3.8,4.430949119573456
FC Famalicão,19.0,Manuel Ugarte,Defensive Midfield,CA Fénix,8,4.1,2.6624317524548697
Lokomotiv Moscow,21.0,Lucas Fasson,Centre-Back,Athletico-PR,10,3.0,3.773026208258565
SL Benfica,30.0,Eliseu,Left-Back,Málaga CF,2,1.2,1.2584534018139417
Stade Rennais FC,27.0,Edouard Mendy,Goalkeeper,Stade Reims,7,7.6,4.934310464562731
Zenit St. Petersburg,25.0,Mateo Cassierra,Centre-Forward,Sochi,10,4.5,7.023559327788492
Aston Villa,32.0,Robin Olsen,Goalkeeper,AS Roma,10,3.5,8.245555477658382
1.FC Union Berlin,28.0,Frederik Rönnow,Goalkeeper,E. Frankfurt,9,1.0,2.542130389135482
Lokomotiv Moscow,21.0,Wilson Isidor,Centre-Forward,Monaco,9,3.5,7.401767586376756
Ajax Amsterdam,20.0,Mike van der Hoorn,Centre-Back,FC Utrecht,1,3.8,2.4599348870681466
Leeds United,18.0,Darko Gyabi,Central Midfield,Man City U21,10,5.8,7.188705901637163
Udinese Calcio,30.0,Marco Silvestri,Goalkeeper,Hellas Verona,9,2.5,2.9399544684931262
Athletic Bilbao,27.0,Kike Sola,Centre-Forward,CA Osasuna,1,4.0,4.566526929091344
FC Sochi,24.0,Victorien Angban,Central Midfield,FC Metz,9,4.1,5.1630678587044985
Angers SCO,19.0,Ousmane Camara,Centre-Back,Paris FC,10,2.2,3.9996663052555474
VfL Wolfsburg,19.0,Kaylen Hinds,Second Striker,Arsenal U23,5,1.5,5.399208199454683
Krylya Sovetov Samara,26.0,Glenn Bijl,Right-Back,FC Emmen,9,0.2,4.797969817990276
Sevilla FC,31.0,Beto,Goalkeeper,SC Braga,1,2.0,3.7945498354733402
Leicester City,21.0,James Maddison,Attacking Midfield,Norwich,6,25.0,13.300639953913347
Spartak Moscow,24.0,Fernando,Defensive Midfield,Sampdoria,4,12.5,6.908670368442167
FC Nizhniy Novgorod,20.0,Ibrokhimkhalil Yuldoshev,Left-Back,Pakhtakor,9,0.25,2.6278936877872168
Inter Milan,34.0,Ashley Young,Left-Back,Man Utd,7,1.7,2.4694041546615266
Atalanta BC,19.0,Bryan Cabezas,Left Winger,Independiente,4,2.5,4.945745117204311
Ajax Amsterdam,21.0,Jay Gorter,Goalkeeper,Go Ahead Eagles,9,1.0,2.365965847852221
Zenit St. Petersburg,27.0,Yohan Mollo,Right Winger,KS Samara,4,3.0,4.908264693697217
Akhmat Grozny,22.0,Ismael Silva,Central Midfield,Kalmar FF,5,1.0,3.162899728503028
SS Lazio,21.0,Fabio Maistro,Central Midfield,Rieti,7,0.18,3.976742768676225
Stade Rennais FC,25.0,Ermir Lenjani,Left-Back,FC St. Gallen,2,0.75,1.7543637057357937
LOSC Lille,25.0,Reinildo Mandava,Left-Back,B SAD,7,3.0,4.235314468289142
Cagliari Calcio,18.0,Kwang-song Han,Centre-Forward,ISM Academy,4,0.48,1.9028211370210064
FC Augsburg,24.0,Jeong-ho Hong,Centre-Back,Jeju United,1,2.0,2.5882948345361694
AS Monaco,19.0,Thomas Lemar,Attacking Midfield,SM Caen,3,4.0,6.089689934815956
Sheffield United,27.0,Luke Freeman,Attacking Midfield,QPR,7,5.6,8.34651630397131
OGC Nice,21.0,Alexis Beka Beka,Defensive Midfield,Loko Moscow,10,12.0,5.244389644582525
Atalanta BC,20.0,Gianluca Mancini,Centre-Back,Perugia,4,1.9,5.750239317552337
Torino FC,22.0,Perr Schuurs,Centre-Back,Ajax,10,9.0,12.13756990821473
Dynamo Moscow,28.0,Guillermo Varela,Right-Back,FC Copenhagen,9,1.0,2.461302025233821
Hull City,26.0,Tom Huddlestone,Defensive Midfield,Spurs,1,5.8,6.560673696328031
AS Monaco,16.0,Willem Geubbels,Left Winger,Olympique Lyon,6,20.0,14.551177065804776
Arsenal FC,23.0,Auston Trusty,Centre-Back,Colorado,9,1.82,27.198939895848156
Feyenoord Rotterdam,20.0,Neraysho Kasanwirjo,Centre-Back,FC Groningen,10,2.0,5.141255923880259
SV Werder Bremen,21.0,Milot Rashica,Right Winger,Vitesse,5,8.1,2.821841511754194
Borussia Dortmund,25.0,André Schürrle,Left Winger,VfL Wolfsburg,4,30.0,22.3184857666854
Chelsea FC,20.0,Noni Madueke,Right Winger,PSV Eindhoven,10,35.0,25.61215438234579
FC Barcelona,21.0,Arthur,Defensive Midfield,Grêmio,6,31.0,24.232420066415923
Spartak Moscow,29.0,Quincy Promes,Left Winger,Ajax,8,8.5,7.4851781494485765
FC Groningen,20.0,Isak Dybvik Määttä,Left-Back,Aalesund,10,1.2,1.4757707138734606
Bologna FC 1909,21.0,Riccardo Casini,Defensive Midfield,Parma,1,2.0,1.8326249766189768
Real Valladolid CF,28.0,Jawad El Yamiq,Centre-Back,Genoa,8,0.25,3.8566268114612225
UC Sampdoria,20.0,Dawid Kownacki,Centre-Forward,Lech Poznan,5,4.0,3.8474201161087884
AZ Alkmaar,18.0,Milos Kerkez,Left-Back,Milan U19,9,2.0,1.2705968329628834
Udinese Calcio,21.0,Cristo González,Centre-Forward,RM Castilla,7,1.5,4.3510629880968
Parma FC,18.0,Filip Jankovic,Central Midfield,Red Star U19,1,0.5,1.0430612891421231
Olympique Marseille,22.0,Leonardo Balerdi,Centre-Back,Bor. Dortmund,9,11.0,8.052814309147449
ACF Fiorentina,18.0,Dušan Vlahović,Centre-Forward,Partizan,6,3.2,4.144870718230988
Levante UD,26.0,Nikola Vukcevic,Defensive Midfield,SC Braga,6,8.9,6.077857941948089
Stoke City,26.0,Michael Kightly,Left Winger,Wolves,0,3.5,5.661374379051814
Watford FC,27.0,Tom Cleverley,Central Midfield,Everton,5,9.3,10.491498881497249
Chelsea FC,23.0,Kepa Arrizabalaga,Goalkeeper,Athletic,6,80.0,23.975907937522873
AS Saint-Étienne,18.0,Neal Maupay,Centre-Forward,OGC Nice,3,0.6,3.9005602004297937
Amiens SC,22.0,Alexis Blin,Defensive Midfield,Toulouse,7,1.65,5.856962147685539
Torino FC,22.0,Brian Bayeye,Right Midfield,Catanzaro,10,0.75,7.812970866962111
Paris Saint-Germain,24.0,Nordi Mukiele,Right-Back,RB Leipzig,10,12.0,48.045084919790824
SS Lazio,28.0,Ivan Provedel,Goalkeeper,Spezia Calcio,10,2.0,4.611638562443784
Torino FC,21.0,Bremer,Centre-Back,Atlético-MG,6,5.8,3.658022526246104
Atalanta BC,23.0,Hans Hateboer,Right-Back,FC Groningen,4,1.04,6.760221844494663
Cagliari Calcio,26.0,Matías Cabrera,midfield,Nacional,0,1.5,4.2110506581444485
Crystal Palace,22.0,Eberechi Eze,Attacking Midfield,QPR,8,17.8,8.118429903471142
Crystal Palace,26.0,James McArthur,Central Midfield,Wigan,2,8.8,5.054828040436087
Gil Vicente FC,22.0,Gabriel Pereira,Centre-Back,Vilafranquense,10,0.65,3.4559380996224056
AC Milan,23.0,Léo Duarte,Centre-Back,Flamengo,7,10.6,14.5832525388216
Stoke City,24.0,Kevin Wimmer,Centre-Back,Spurs,5,19.4,8.157300162738787
Villarreal CF,25.0,Tomás Pina,Central Midfield,RCD Mallorca,1,5.0,5.724699886782639
FC Porto,22.0,David Carmo,Centre-Back,SC Braga,10,20.0,4.821285281809714
FC Nantes,24.0,Anthony Limbombe,Left Winger,Club Brugge,6,8.25,6.356528617240012
ACF Fiorentina,25.0,Josip Ilicic,Second Striker,US Palermo,1,9.0,7.613522161803306
Anzhi Makhachkala ( -2022),31.0,Benoît Angbwa,Right-Back,KS Samara,1,1.5,0.2881948835046723
Juventus FC,24.0,Vincenzo Fiorillo,Goalkeeper,Sampdoria,2,1.9,7.853669227513546
RCD Espanyol Barcelona,25.0,César Montes,Centre-Back,Monterrey,10,8.0,3.8872056607904755
AS Roma,26.0,Leonardo Spinazzola,Left-Back,Juventus,7,29.5,17.876209382066158
UC Sampdoria,25.0,Abdelhamid Sabiri,Attacking Midfield,Ascoli,10,1.0,4.004333737058455
AZ Alkmaar,25.0,Yves De Winter,Goalkeeper,De Graafschap,0,0.2,0.6050972909845173
Liverpool FC,24.0,Oussama Assaidi,Left Winger,Heerenveen,0,4.0,19.19875043605114
Anzhi Makhachkala ( -2022),23.0,Ewerton,Centre-Back,Coimbra-MG,0,5.4,2.2838886358071506
Empoli FC,26.0,Omar El Kaddouri,Attacking Midfield,SSC Napoli,4,1.2,3.6752894290692226
FC Porto,20.0,Éder Militão,Centre-Back,São Paulo,6,7.0,2.797783743792753
RCD Espanyol Barcelona,25.0,Cristhian Stuani,Centre-Forward,Reggina,0,2.7,2.6132862811342945
Bayern Munich,24.0,Leroy Sané,Left Winger,Man City,8,60.0,24.125079054930815
Nîmes Olympique,25.0,Haris Duljevic,Left Winger,Dynamo Dresden,7,1.0,4.997994337198306
FC Sochi,26.0,Artem Meshchaninov,Centre-Back,Baltika,10,0.5,3.071437295391265
Leicester City,26.0,Rachid Ghezzal,Right Winger,Monaco,6,14.0,15.611971187137236
FC Toulouse,21.0,Dominik Furman,Central Midfield,Legia Warszawa,1,2.65,1.7564792963603562
Genoa CFC,32.0,Felipe Caicedo,Centre-Forward,Lazio,9,2.0,3.851694532492947
SD Huesca,32.0,Enric Gallego,Centre-Forward,Extremadura,6,3.0,1.6607195616586945
RC Lens,22.0,Lukasz Poreba,Defensive Midfield,Zaglebie Lubin,10,0.35,5.503243695025367
FC Lorient,23.0,Cafú,Central Midfield,Vit. Guimarães,4,2.0,3.0808671277926067
FK Orenburg,27.0,Denis Popovic,Attacking Midfield,Wisla Kraków,4,0.2,2.35770138578151
UC Sampdoria,21.0,Alessandro De Vitis,Defensive Midfield,Parma,1,2.3,2.4071330764946164
Villarreal CF,26.0,Gerard Moreno,Centre-Forward,Espanyol,6,20.0,8.041313990445628
Swansea City,19.0,Botti Biabi,Centre-Forward,Falkirk,3,0.21,7.227092472287634
Empoli FC,21.0,Samuel Mraz,Centre-Forward,MSK Zilina,6,1.5,3.60242570807666
TSG 1899 Hoffenheim,26.0,Eugen Polanski,Defensive Midfield,1.FSV Mainz 05,0,3.0,2.354849581454468
TSG 1899 Hoffenheim,27.0,Pirmin Schwegler,Defensive Midfield,E. Frankfurt,2,1.9,1.8576419861199513
Borussia Dortmund,19.0,Leonardo Balerdi,Centre-Back,Boca Juniors,6,15.5,16.095235243517305
Manchester City,23.0,Ederson,Goalkeeper,Benfica,5,40.0,28.181464346139283
Bologna FC 1909,22.0,Arthur Theate,Centre-Back,KV Oostende,10,6.0,3.376050464502096
Chievo Verona,20.0,Gianluca Gaudino,Central Midfield,Bayern Munich,5,0.05,5.6447943136126
Chievo Verona,23.0,Raffaele Pucino,Right-Back,Sassuolo,2,0.3,3.098191033870873
FC Porto,23.0,Paulinho,Attacking Midfield,Portimonense,6,3.0,4.555495729302287
Real Betis Balompié,25.0,Francisco Portillo,Right Winger,Málaga CF,3,1.0,3.469062797228342
AC Milan,21.0,Charles De Ketelaere,Attacking Midfield,Club Brugge,10,32.0,13.155031027116253
Dinamo Moscow,28.0,Toni Sunjic,Centre-Back,VfB Stuttgart,5,0.7,5.99383100428753
Udinese Calcio,19.0,Jádson,Central Midfield,Botafogo,1,2.5,1.2216629027710932
VfB Stuttgart,28.0,Ron-Robert Zieler,Goalkeeper,Leicester,5,4.0,2.1835478773852937
AS Saint-Étienne,29.0,Ryad Boudebouz,Attacking Midfield,Real Betis,7,3.5,5.335290854585116
AS Monaco,18.0,Lyle Foster,Centre-Forward,Orlando Pirates,6,1.2,11.613750736153433
AC Milan,30.0,Fernando Torres,Centre-Forward,Chelsea,2,1.0,8.207365942994922
Cardiff City,23.0,Josh Murphy,Left Winger,Norwich,6,11.4,8.256433493947965
ACF Fiorentina,26.0,Matías Fernández,Attacking Midfield,Sporting CP,0,3.14,4.75439132900091
Norwich City,28.0,Javier Garrido,Left-Back,Lazio,1,1.5,6.5012134610708046
Sporting CP,28.0,Douglas,Centre-Back,Trabzonspor,4,1.0,3.293710980073123
Cagliari Calcio,24.0,Danilo Avelar,Left-Back,Karpaty,1,1.0,1.0833954976635702
Udinese Calcio,18.0,Clifford Aboagye,Central Midfield,Inter Allies,1,0.61,1.1010322244445543
Liverpool FC,23.0,Diogo Jota,Left Winger,Wolves,8,44.7,30.005544877546598
Torino FC,28.0,Guillermo Rodríguez,Centre-Back,Cesena,0,1.0,2.1711744856806705
Real Sociedad,25.0,Asier Illarramendi,Defensive Midfield,Real Madrid,3,17.0,9.995130919897912
Girona FC,24.0,Jairo Izquierdo,Left-Back,Extremadura,6,0.2,2.8162009082079584
Leicester City,30.0,Jonny Evans,Centre-Back,West Brom,6,4.0,11.311290806939537
RKC Waalwijk,25.0,Teddy Chevalier,Centre-Forward,Zulte Waregem,0,0.1,2.140034579011466
Tottenham Hotspur,32.0,Fernando Llorente,Centre-Forward,Swansea,5,15.1,12.529128393681981
Huddersfield Town,21.0,Ramadan Sobhi,Left Winger,Stoke City,6,6.5,10.230531276161942
Manchester United,22.0,Victor Lindelöf,Centre-Back,Benfica,5,35.0,26.898384126099266
Stade Reims,29.0,Junya Ito,Right Winger,KRC Genk,10,10.0,4.914179182912839
1. FC Köln,29.0,Sebastian Andersson,Centre-Forward,Union Berlin,8,6.5,6.2496345787606336
Moreirense FC,22.0,Luiz Henrique,Attacking Midfield,Náutico,7,0.25,4.140362827201316
PSV Eindhoven,28.0,Eloy Room,Goalkeeper,Vitesse,5,0.4,2.7440785723095127
Dinamo Moscow,27.0,Abdul-Aziz Tetteh,Defensive Midfield,Lech Poznan,5,0.8,3.3434674832012488
AS Roma,25.0,Marquinho,Attacking Midfield,Fluminense,0,3.5,4.080563469519706
Aston Villa,21.0,Ezri Konsa,Centre-Back,Brentford,7,13.3,10.14112620836519
FC Groningen,20.0,Alexander Sörloth,Centre-Forward,Rosenborg,3,0.55,1.5353735036821907
Borussia Dortmund,29.0,Axel Witsel,Defensive Midfield,TJ Tianhai,6,20.0,23.470914654031734
SC Braga,21.0,Galeno,Left Midfield,FC Porto,7,3.5,4.561267832852009
SSC Napoli,21.0,Victor Osimhen,Centre-Forward,LOSC Lille,8,75.0,7.128417894731916
SSC Napoli,19.0,Igor Lasicki,Centre-Back,Lubin II,1,0.25,2.175951421326162
AZ Alkmaar,26.0,Stijn Wuytens,Centre-Back,Willem II,3,0.5,1.4749216236826057
Villarreal CF,28.0,Gerónimo Rulli,Goalkeeper,Real Sociedad,8,5.0,7.964684975153911
Inter Milan,27.0,Joaquín Correa,Second Striker,Lazio,10,23.6,9.973282655193344
Manchester City,24.0,Zack Steffen,Goalkeeper,Columbus Crew,7,6.82,23.776059124296776
Real Betis Balompié,21.0,Nosa Igiebor,Central Midfield,Hapoel Tel Aviv,0,1.1,1.7378824540323083
West Ham United,23.0,Pedro Obiang,Central Midfield,Sampdoria,3,6.0,11.622880552887004
Everton FC,20.0,Henry Onyekuru,Left Winger,KAS Eupen,5,8.0,11.63577674211918
Spartak Moscow,32.0,Aleksandr Samedov,Right Winger,Loko Moscow,4,3.5,1.0180231066956968
SD Huesca,24.0,Javi Galán,Left-Back,Córdoba CF,6,1.8,4.268538901166906
FK Ufa,25.0,Vladislav Kamilov,Central Midfield,SKA Khabarovsk,8,0.215,4.656217770347731
Manchester United,36.0,Cristiano Ronaldo,Centre-Forward,Juventus,9,15.0,48.45511636195237
Borussia Dortmund,22.0,Nico Schlotterbeck,Centre-Back,SC Freiburg,10,20.0,32.22326645358423
FC Porto,22.0,Luis Díaz,Left Winger,Junior FC,7,7.22,3.4231281716340574
Real Sociedad,27.0,Portu,Right Winger,Girona,7,10.0,5.155037593175694
PSV Eindhoven,21.0,Angeliño,Left-Back,Man City U23,6,5.5,2.5779722243602317
Twente Enschede FC,21.0,Hakim Ziyech,Attacking Midfield,Heerenveen,2,3.5,2.4561644082662655
Spezia Calcio,21.0,Emil Kornvig,Central Midfield,Lyngby BK,9,1.0,3.8160265166377103
FC Girondins Bordeaux,21.0,Jean Onana,Defensive Midfield,LOSC Lille,9,2.0,5.9132984794564765
Celta de Vigo,29.0,Michael Krohn-Dehli,Central Midfield,Bröndby IF,0,1.0,1.7743257638877907
Sevilla FC,22.0,Diogo Figueiras,Right-Back,Paços Ferreira,1,1.0,7.870283545822573
Atlético de Madrid,27.0,Geoffrey Kondogbia,Defensive Midfield,Valencia,8,15.0,9.258745939646502
Middlesbrough FC,31.0,Adlène Guédioura,Central Midfield,Watford,4,5.2,5.344538988570118
ACF Fiorentina,23.0,Igor,Centre-Back,SPAL,9,5.3,6.765260471780903
Valencia CF,25.0,Lucas Orbán,Centre-Back,G. Bordeaux,2,3.5,3.7216988405698435
OGC Nice,19.0,Myziane Maolida,Left Winger,Olympique Lyon,6,10.0,5.898014237201739
Genoa CFC,19.0,Elia Petrelli,Centre-Forward,Juventus U23,8,8.0,6.164609266786829
Bayern Munich,23.0,Marc Roca,Defensive Midfield,Espanyol,8,9.0,19.936613570113007
Vitória Guimarães SC,23.0,Sebastián Rincón,Right Winger,Tigre,5,1.65,3.7540958418228447
Deportivo de La Coruña,27.0,Raúl Albentosa,Centre-Back,Derby,4,0.8,2.4761214612780234
Sunderland AFC,24.0,Wahbi Khazri,Centre-Forward,G. Bordeaux,3,11.8,6.256795824916942
AC Milan,31.0,Junior Messias,Right Winger,Crotone,10,4.5,7.010383520037028
Spartak Moscow,25.0,Jorrit Hendrix,Defensive Midfield,PSV Eindhoven,8,0.5,6.303705122679128
FK Krasnodar,28.0,Naldo,Centre-Back,Sporting CP,4,4.5,4.453274512912383
Villarreal CF,34.0,Javi Fuego,Defensive Midfield,Espanyol,5,1.5,3.6327654744658675
SS Lazio,21.0,Jordan Lukaku,Left-Back,KV Oostende,4,4.0,2.74460008719889
Hertha BSC,22.0,Lukas Klünter,Right-Back,1. FC Köln,6,2.0,2.945758701448628
CD Leganés,23.0,José Manuel Arnáiz,Left Winger,Barcelona B,6,5.0,6.807290847186213
PEC Zwolle,23.0,Xavier Mous,Goalkeeper,SC Cambuur,7,0.6,2.588842211931041
Feyenoord Rotterdam,22.0,Mats Wieffer,Central Midfield,Excelsior,10,0.575,2.7593417659763593
Stade Brestois 29,25.0,Steve Mounié,Centre-Forward,Huddersfield,8,5.0,6.44979992753253
FC Schalke 04,20.0,Hamza Mendyl,Left-Back,LOSC Lille,6,6.0,6.42033919063736
Sporting CP,25.0,Nuno Santos,Left Winger,Rio Ave FC,8,3.75,5.165283452065997
FC Nantes,24.0,Lucas Lima,Left-Back,Arouca,4,1.1,2.2747859535150927
FC Empoli,25.0,Guglielmo Vicario,Goalkeeper,Cagliari Calcio,10,8.5,3.7888565062928925
Spartak Moscow,23.0,Georgiy Dzhikiya,Centre-Back,Amkar Perm,4,2.35,4.67710623954505
US Sassuolo,30.0,Vlad Chiriches,Centre-Back,SSC Napoli,8,9.5,3.7815250809878553
Spezia Calcio,21.0,Raimonds Krollis,Centre-Forward,Valmiera,10,1.5,4.324768762916356
Wolverhampton Wanderers,32.0,Craig Dawson,Centre-Back,West Ham,10,3.75,6.39415111665157
Udinese Calcio,26.0,Iván Piris,Right-Back,Maldonado,3,3.5,1.7797513698843086
AS Saint-Étienne,26.0,Gabriel Silva,Left-Back,Udinese Calcio,5,2.5,4.552170731959213
Parma FC,20.0,Riccardo Casini,Defensive Midfield,Bologna U19,0,1.0,2.1562923162733956
Udinese Calcio,23.0,Allan,Defensive Midfield,Granada CF,2,3.0,3.4896327526195976
AS Monaco,19.0,Borja López,Centre-Back,Sporting Gijón,1,2.2,5.591003264177944
Burnley FC,25.0,Ben Gibson,Centre-Back,Middlesbrough,6,16.9,10.906122066162295
Sevilla FC,19.0,Jairo Samperio,Left Winger,Racing,1,2.2,6.494590811705475
Torino FC,33.0,Etrit Berisha,Goalkeeper,SPAL,10,0.3,4.777463002644476
Sevilla FC,28.0,Luuk de Jong,Centre-Forward,PSV Eindhoven,7,12.5,10.349727802643923
AS Roma,19.0,Gianluca Caprari,Second Striker,Pescara,1,2.0,6.215313013049192
FC Groningen,23.0,Daleho Irandust,Attacking Midfield,Häcken,9,0.4,2.7924339813850003
SC Braga,27.0,Cristian Borja,Left-Back,Sporting CP,8,3.0,3.787106508777499
Hellas Verona,20.0,Matteo Bianchetti,Centre-Back,Inter,1,1.6,1.492616195435976
AS Roma,24.0,Pau López,Goalkeeper,Real Betis,7,23.5,13.072508151697658
Celta de Vigo,19.0,Fran Beltrán,Central Midfield,Rayo Vallecano,6,8.0,4.000504565565371
Watford FC,22.0,Maduka Okoye,Goalkeeper,Sparta R.,9,5.0,7.976623094559629
Burnley FC,24.0,Josh Brownhill,Central Midfield,Bristol City,7,10.0,12.763326064232933
Eintracht Braunschweig,20.0,Salim Khelifi,Right Midfield,Lausanne-Sport,1,0.25,0.2869330552989545
West Ham United,33.0,José Fonte,Centre-Back,Southampton,4,9.2,9.549696776435452
FK Ufa,24.0,Haris Handzic,Centre-Forward,B. Banja Luka,2,0.05,2.163984688461479
Olympique Lyon,27.0,Thiago Mendes,Defensive Midfield,LOSC Lille,7,22.0,5.996070587994652
Angers SCO,24.0,Elhadji Pape Diaw,Centre-Back,Korona Kielce,6,0.05,4.4174417237805566
AS Monaco,21.0,Krépin Diatta,Right Winger,Club Brugge,8,16.7,8.410607190961473
Bologna FC 1909,20.0,Takehiro Tomiyasu,Right-Back,Sint-Truiden,7,7.0,2.2933061208990733
FK Orenburg,28.0,Michal Duris,Centre-Forward,Viktoria Plzen,4,0.6,3.056685702801653
