club_name,age,player_name,position,club_involved_name,season,Valore Reale,Valore Predetto
West Ham United,23.0,Nikola Vlasic,Attacking Midfield,CSKA Moscow,9,30.0,15.654021965928072
VfL Wolfsburg,22.0,Kevin De Bruyne,Attacking Midfield,Chelsea,1,22.0,12.708482062286437
Bologna FC 1909,32.0,Marko Arnautovic,Centre-Forward,SH Port,9,3.0,1.4388291190927638
RB Leipzig,22.0,Bruma,Left Winger,Galatasaray,5,15.0,11.056136008099005
FK Krasnodar,23.0,Igor Smolnikov,Right-Back,Rostov,0,2.5,1.0906349420899344
FC Metz,22.0,Warren Tchimbembé,Right Winger,Troyes,8,1.0,4.778877372536089
Aston Villa,33.0,Joleon Lescott,Centre-Back,West Brom,3,1.4,3.7167451551054222
FC Internazionale,26.0,Fredy Guarín,Central Midfield,FC Porto,0,11.0,5.708583592685293
Dijon FCO,20.0,Mounir Chouiar,Left Winger,Lens,7,3.5,4.0828071228413645
1.FC Nuremberg,21.0,Ondrej Petrak,Defensive Midfield,Slavia Prague,1,1.0,1.5926206472371736
Levante UD,25.0,Rúben Vezo,Centre-Back,Valencia,7,5.0,7.898343326893233
Swansea City,26.0,Alberto Paloschi,Centre-Forward,Chievo Verona,3,8.8,8.956289595993232
SSC Napoli,23.0,Rafael,Goalkeeper,Santos FC,1,5.0,2.3649897150238903
Leicester City,22.0,Boubakary Soumaré,Defensive Midfield,LOSC Lille,9,20.0,15.565502159495574
Eintracht Frankfurt,21.0,Ragnar Ache,Centre-Forward,Sparta R.,8,2.0,4.783361508235164
Olympique Lyon,18.0,Lenny Pintor,Left Winger,Stade Brestois,6,5.0,5.664269474667097
Montpellier HSC,21.0,Jean Deza,Left Winger,U. San Martín,2,0.5,2.4591129885120724
AS Roma,25.0,Mapou Yanga-Mbiwa,Centre-Back,Newcastle,2,7.35,5.590822016502073
AS Monaco,29.0,Jérémy Toulalan,Defensive Midfield,Málaga CF,1,5.0,6.638157804504764
FC Barcelona,27.0,Jasper Cillessen,Goalkeeper,Ajax,4,13.0,37.12512556077252
Burnley FC,26.0,Ashley Westwood,Defensive Midfield,Aston Villa,4,5.8,9.0740627385803
Dinamo Moscow,24.0,Nikolay Komlichenko,Centre-Forward,Mlada Boleslav,7,3.5,4.255477086550907
Nottingham Forest,24.0,Taiwo Awoniyi,Centre-Forward,Union Berlin,10,20.5,12.873061907483507
Bologna FC 1909,24.0,Ladislav Krejci,Left Midfield,Sparta Prague,4,3.8,2.5405441285302692
Tottenham Hotspur,25.0,Hugo Lloris,Goalkeeper,Olympique Lyon,0,12.6,10.714505547912967
Chelsea FC,18.0,Carney Chukwuemeka,Central Midfield,Aston Villa,10,18.0,23.92355486341733
ACF Fiorentina,25.0,Milan Badelj,Defensive Midfield,Hamburger SV,2,4.0,6.609949798108778
Getafe CF,26.0,Pedro León,Right Winger,Real Madrid,1,6.0,7.171906633651908
UC Sampdoria,30.0,Lorenzo Tonelli,Centre-Back,SSC Napoli,8,2.0,3.907822943621086
UC Sampdoria,21.0,Stefano Beltrame,Attacking Midfield,Juventus,2,2.0,5.1865536914003325
Borussia Mönchengladbach,19.0,Kouadio Koné,Central Midfield,Toulouse,8,9.0,6.60313063279144
LOSC Lille,24.0,Léo Jardim,Goalkeeper,Rio Ave FC,7,6.0,5.207225314057404
SC Freiburg,23.0,Lucas Höler,Centre-Forward,SV Sandhausen,5,2.0,4.251404949580117
Sporting CP,22.0,Marcos Rojo,Centre-Back,Spartak Moscow,0,4.0,3.1966692177341307
VfB Stuttgart,31.0,Genki Haraguchi,Attacking Midfield,Union Berlin,10,1.0,2.3665960377095567
Olympique Marseille,27.0,Pau López,Goalkeeper,AS Roma,10,12.0,8.012130831322796
Newcastle United,24.0,Daryl Janmaat,Centre-Back,Feyenoord,2,6.0,7.322483092633899
Genoa CFC,28.0,Francesco Renzetti,Left-Back,Cesena,4,1.2,1.6947989011331588
Juventus FC,25.0,Martín Cáceres,Centre-Back,Sevilla FC,0,8.0,13.226084970957471
Parma FC,19.0,Giuliano Laezza,Centre-Back,Arzanese,1,0.075,1.163691967468662
US Salernitana 1919,26.0,Pasquale Mazzocchi,Right-Back,Venezia,10,1.0,4.432338734462257
Hamburger SV,26.0,Nicolai Müller,Attacking Midfield,1.FSV Mainz 05,2,4.5,1.3804931249650467
Rio Ave FC,21.0,Esmaël Gonçalves,Centre-Forward,OGC Nice,0,0.4,3.73101012633814
Stade Brestois 29,22.0,Charlison Benschop,Centre-Forward,AZ Alkmaar,0,1.25,4.0696508327787475
Amkar Perm,27.0,Thomas Phibel,Centre-Back,Widzew Lodz,1,0.35,1.895336649384481
Athletic Bilbao,26.0,Cristian Ganea,Left-Back,FC Viitorul,6,1.0,3.4812510888560797
US Palermo,23.0,Simon Makienok,Centre-Forward,Bröndby IF,2,2.3,2.629304290031031
Swansea City,26.0,Sam Clucas,Central Midfield,Hull City,5,16.3,9.753019713219523
Feyenoord Rotterdam,21.0,Santiago Giménez,Centre-Forward,CD Cruz Azul,10,4.0,2.8217691639898677
AS Saint-Étienne,27.0,Nolan Roux,Centre-Forward,LOSC Lille,3,2.0,4.258389890887013
Southampton FC,25.0,Dusan Tadić,Left Winger,Twente FC,2,14.0,8.656812342213001
Swansea City,25.0,Jack Cork,Defensive Midfield,Southampton,2,4.0,9.397882133761694
CSKA Moscow,18.0,Lassana N'Diaye,Centre-Forward,Guidars FC,6,0.07,3.0419947699343255
US Sassuolo,31.0,Alessandro Matri,Centre-Forward,AC Milan,4,1.8,4.6304127496154965
Chelsea FC,20.0,Christian Pulisic,Right Winger,Bor. Dortmund,6,64.0,39.0057392599159
AC Milan,21.0,Giacomo Beretta,Centre-Forward,Genoa,1,4.0,6.271963744008992
West Ham United,26.0,Nayef Aguerd,Centre-Back,Stade Rennais,10,35.0,16.020434302830964
Cádiz CF,23.0,Brian Ocampo,Right Winger,Nacional,10,1.9,5.522497360251021
EA Guingamp,22.0,Lebogang Phiri,Central Midfield,Bröndby IF,5,0.225,3.7663284242289325
Tottenham Hotspur,24.0,Kieran Trippier,Right-Back,Burnley,3,4.9,10.926390010027436
Vitesse Arnhem,27.0,Tomas Hajek,Centre-Back,Viktoria Plzen,7,0.4,3.2334135126557486
Spartak Moscow,18.0,Nail Umyarov,Defensive Midfield,Chertanovo,6,0.3,3.3819327490921545
AC Milan,30.0,Nikola Kalinic,Centre-Forward,Fiorentina,6,22.5,12.637358839843088
Parma FC,21.0,Alessandro Iacobucci,Goalkeeper,Siena,0,3.4,0.9423639198183937
ACF Fiorentina,23.0,Arthur Cabral,Centre-Forward,FC Basel,9,14.0,5.6275548878784605
Rubin Kazan,19.0,Rifat Zhemaletdinov,Attacking Midfield,Loko Moscow II,4,0.15,2.383621389683388
AFC Bournemouth,20.0,Ilya Zabarnyi,Centre-Back,Dynamo Kyiv,10,22.7,8.227629294223808
Dinamo Moscow,25.0,Alexander Büttner,Left-Back,Man Utd,2,5.5,1.5207627581466732
Benevento Calcio,30.0,Gianluca Lapadula,Centre-Forward,Genoa,8,4.0,2.7099950496628833
Sporting CP,23.0,Josip Misic,Central Midfield,HNK Rijeka,5,2.75,3.52972437787701
US Sassuolo,30.0,Federico Peluso,Left-Back,Juventus,2,4.5,5.234370094403527
NEC Nijmegen,26.0,Lasse Nielsen,Centre-Back,Aalborg BK,1,0.3,1.4413145315451907
GD Estoril Praia,21.0,Léo Bonatini,Centre-Forward,Cruzeiro,3,0.4,1.8985256501452938
Hellas Verona,26.0,Lorenzo Montipò,Goalkeeper,Benevento,10,1.0,2.399730004655857
Huddersfield Town,22.0,Adama Diakhaby,Left Winger,Monaco,6,10.0,11.474881374604838
VfL Wolfsburg,29.0,Naldo,Centre-Back,Werder Bremen,0,4.8,2.929022815357707
Deportivo de La Coruña,20.0,Saúl García,Left-Back,Racing,2,0.2,0.4071908036880557
FC Metz,18.0,Boubacar Traoré,Central Midfield,AS Bamako,7,0.35,3.3619237367322463
Brighton & Hove Albion,18.0,Kacper Kozlowski,Central Midfield,Pogon Szczecin,9,11.0,6.398494889938988
Watford FC,24.0,Ken Sema,Left Midfield,Östersund,6,2.25,8.44035470549877
AS Roma,21.0,Adem Ljajic,Attacking Midfield,Fiorentina,1,12.0,8.25364264470165
Kuban Krasnodar (-2018),29.0,Stanislav Manolev,Right Winger,Dinamo Moscow,2,0.8,2.8150619806877097
Hellas Verona,32.0,Francesco Benussi,Goalkeeper,Udinese Calcio,2,0.2,-0.7590831435199958
Celta de Vigo,24.0,Gabriel Fernández,Centre-Forward,Peñarol,6,3.5,4.345787863881263
FK Orenburg,20.0,Danila Khotulev,Centre-Back,Zenit 2 S-Pb,10,0.435,2.8652878345083583
Athletic Bilbao,26.0,Beñat Etxebarria,Central Midfield,Real Betis,1,8.0,3.412041208796332
Montpellier HSC,23.0,Lukas Pokorny,Centre-Back,Slovan Liberec,4,1.5,3.6931427255003966
SM Caen,25.0,Florian Raspentino,Centre-Forward,Marseille,2,0.5,5.374794428680076
Stade Reims,23.0,Anastasios Donis,Centre-Forward,VfB Stuttgart,8,4.0,9.096115426950384
Hannover 96,24.0,Josip Elez,Centre-Back,HNK Rijeka,6,2.5,2.7593417659763593
Olympique Marseille,20.0,Karim Rekik,Centre-Back,Man City,3,5.0,2.4892722867035695
Real Sociedad,18.0,David Concha,Right Winger,Racing,3,1.0,1.5515670823420076
FK Krasnodar,29.0,Rémy Cabella,Attacking Midfield,Saint-Étienne,7,12.0,4.64550999003373
Deportivo Alavés,27.0,Mamadou Sylla,Centre-Forward,Girona,9,1.15,3.770421612411409
Genoa CFC,25.0,Enis Nadarevic,Left Winger,Varese,0,0.25,1.6558332958312327
Wolverhampton Wanderers,31.0,João Moutinho,Central Midfield,Monaco,6,5.6,8.992226839658652
AC Milan,24.0,Andrea Bertolacci,Central Midfield,AS Roma,3,21.0,11.268708315021273
FC Ingolstadt 04,23.0,Elias Kachunga,Right Winger,SC Paderborn,3,1.5,2.684531755719453
FC Porto,24.0,Hyun-jun Suk,Centre-Forward,Vitória Setúbal,3,1.5,3.340716760027553
Inter Milan,18.0,Alessandro Bastoni,Centre-Back,Atalanta BC,5,31.1,8.384243348099726
FK Ufa,21.0,Artem Golubev,Defensive Midfield,Krasnodar,8,0.26,4.61226535779056
Excelsior Rotterdam,23.0,Elías Már Ómarsson,Centre-Forward,IFK Göteborg,6,0.3,3.3274704528440875
SS Lazio,23.0,Moritz Leitner,Central Midfield,Bor. Dortmund,4,1.5,5.708665803869593
Paris Saint-Germain,20.0,Gonçalo Guedes,Left Winger,Benfica,4,30.0,20.712145815471562
LOSC Lille,28.0,Benjamin André,Defensive Midfield,Stade Rennais,7,7.0,6.101095721075658
Stade Reims,22.0,Ghislain Konan,Left-Back,Vit. Guimarães,6,4.0,4.32204152312631
TSG 1899 Hoffenheim,23.0,Diadié Samassékou,Defensive Midfield,RB Salzburg,7,14.0,3.8389642887857054
LOSC Lille,20.0,Sven Botman,Centre-Back,Ajax U21,8,8.0,4.515739925383784
FC Porto,23.0,Zaidu,Left-Back,Santa Clara,8,4.0,3.718392612641821
AJ Auxerre,31.0,Nuno Da Costa,Centre-Forward,Nottm Forest,10,2.0,3.8672703143715528
Málaga CF,29.0,Cenk Gönen,Goalkeeper,Galatasaray,5,0.2,2.5041405148747033
Sporting CP,23.0,Marcus Edwards,Right Winger,Vit. Guimarães,9,7.5,3.975681186637032
Eintracht Frankfurt,22.0,Andersson Ordóñez,Centre-Back,Barcelona SC,4,1.0,7.714669623517347
Zenit St. Petersburg,29.0,Yaroslav Rakitskyi,Centre-Back,Shakhtar D.,6,10.0,4.504008492154819
Brighton & Hove Albion,25.0,Deniz Undav,Centre-Forward,Union SG,9,7.0,8.695921641287516
Manchester United,24.0,Romelu Lukaku,Centre-Forward,Everton,5,84.7,58.49301503755388
Leicester City,27.0,Danny Simpson,Right-Back,QPR,2,2.5,7.85213980980978
ACF Fiorentina,30.0,José María Basanta,Centre-Back,Monterrey,2,2.6,3.544695674341753
Bologna FC 1909,23.0,Lorenzo Crisetig,Defensive Midfield,Inter,4,2.7,3.07550062723146
Sevilla FC,26.0,Quincy Promes,Left Winger,Spartak Moscow,6,21.0,11.39134969034663
Athletic Bilbao,29.0,Raúl García,Centre-Forward,Atlético Madrid,3,10.0,7.874374456326144
FK Orenburg,20.0,Ivan Lapshov,Centre-Back,Loko-Kazanka M.,7,0.019,3.2194777508109143
AS Roma,26.0,Iago Falque,Right Winger,Genoa,3,7.0,5.8066964636008915
Everton FC,25.0,André Gomes,Central Midfield,Barcelona,7,25.0,21.81755801608841
West Bromwich Albion,25.0,Salomón Rondón,Centre-Forward,Zenit S-Pb,3,17.0,6.453369068672131
VfB Stuttgart,32.0,Mario Gómez,Centre-Forward,VfL Wolfsburg,5,3.0,5.3670252810800685
Vitória Guimarães SC,24.0,Guillermo Celis,Defensive Midfield,Benfica,5,1.75,4.75084155679242
FK Rostov,25.0,Kamil Agalarov,Defensive Midfield,Anzhi,1,0.6,1.9689569981853918
Rio Ave FC,31.0,Jhonatan,Goalkeeper,Vit. Guimarães,10,0.6,0.7859029206010243
Krylya Sovetov Samara,16.0,Sergey Pinyaev,Left Winger,Chertanovo,9,0.5,2.8824691329871848
FC Porto,23.0,Toni Martínez,Centre-Forward,Famalicão,8,3.2,4.806230347736536
Levante UD,31.0,Coke,Right-Back,FC Schalke 04,6,1.5,2.496145953814342
Krylya Sovetov Samara,20.0,Leonid Gerchikov,Right Winger,Dolgoprudnyi,9,0.035,3.63559324402741
Atlético de Madrid,32.0,Daniel Wass,Central Midfield,Valencia,9,2.7,7.39899169415038
SL Benfica,20.0,Alejandro Grimaldo,Left-Back,Barcelona B,3,2.1,4.525877093625284
West Ham United,28.0,James Collins,Centre-Back,Aston Villa,0,3.2,9.327303138506137
Parma FC,21.0,Daniele Casiraghi,Attacking Midfield,Lecce,2,1.0,1.8881055303353822
FC Toulouse,24.0,Veljko Birmancevic,Left Winger,Malmö FF,10,4.1,4.535517808119268
AS Roma,29.0,Ervin Zukanovic,Centre-Back,Sampdoria,4,2.8,9.892930296204336
Parma FC,19.0,Raman Chibsah,Central Midfield,Juventus U19,0,1.75,3.107623790899876
Sporting CP,22.0,Alan Ruiz,Central Midfield,San Lorenzo,4,4.84,3.4383047297399036
SL Benfica,19.0,Pedro Pereira,Right Midfield,Sampdoria,4,2.66,4.991441451854708
RC Strasbourg Alsace,27.0,Jonas Martin,Defensive Midfield,Real Betis,5,1.5,5.287837150235777
Juventus FC,22.0,Mattia Caldara,Centre-Back,Atalanta BC,4,19.0,26.213040710385297
Brighton & Hove Albion,19.0,Michal Karbownik,Right-Back,Legia Warszawa,8,5.5,5.97530438139478
Tottenham Hotspur,22.0,Clinton N'Jie,Right Winger,Olympique Lyon,3,14.1,12.153328885641924
UC Sampdoria,22.0,Emil Audero,Goalkeeper,Juventus,7,20.0,11.72960352254036
Manchester United,35.0,Lee Grant,Goalkeeper,Stoke City,6,1.7,19.68881824369828
Fortuna Düsseldorf,22.0,Mathis Bolly,Left Winger,Lillestrøm,0,0.5,1.3377616743961807
ACF Fiorentina,25.0,Maximiliano Olivera,Left-Back,Peñarol,5,2.5,3.981780165443441
Krylya Sovetov Samara,23.0,Maksim Karpov,Centre-Back,Zenit 2 S-Pb,6,0.2,3.996788561390666
SL Benfica,21.0,Darwin Núñez,Centre-Forward,UD Almería,8,34.0,5.287447839083619
Parma Calcio 1913,21.0,Walid Cheddira,Centre-Forward,Sangiustese,7,0.093,4.878460070921139
Inter Milan,22.0,Gianluca Caprari,Second Striker,Pescara,4,8.25,7.168435083819224
SSC Napoli,21.0,Khvicha Kvaratskhelia,Left Winger,Dinamo Batumi,10,10.0,4.711584855441654
FC Crotone,25.0,Jacopo Petriccione,Defensive Midfield,Lecce,8,1.5,3.8800070912461524
Arsenal FC,33.0,Petr Cech,Goalkeeper,Chelsea,3,14.0,16.22001406508469
Wolverhampton Wanderers,23.0,Matheus Nunes,Central Midfield,Sporting CP,10,45.0,12.731340687189181
SL Benfica,22.0,Chiquinho,Attacking Midfield,Coimbra,6,0.6,4.159255313663292
Torino FC,21.0,Josef Martínez,Centre-Forward,BSC Young Boys,2,3.0,3.5641830019115206
Valencia CF,21.0,Gonçalo Guedes,Left Winger,Paris SG,6,40.0,9.111641388770874
Hull City,26.0,Shane Long,Centre-Forward,West Brom,1,8.5,6.138347095178082
Liverpool FC,25.0,Alisson,Goalkeeper,AS Roma,6,62.5,45.6646827088859
