club_home_name,club_away_name,name22,competition_id,round,season,home_club_goals,away_club_goals,away_club_id,home_club_id,game_id,peso round,Overall_home,Overall_away,Overall_league,Overall_Match_Home,Overall_Match_Away
Fc Utrecht,Ajax Amsterdam,Ajax,NL1,18. Matchday,2012,0,0,610,200,2250327,1.0,0.2305118972707956,0.6830752758165654,0.3541136365914842,0.02177329398222498,0.02177329398222498
Fc Utrecht,Ajax Amsterdam,Ajax,NL1,21. Matchday,2013,1,1,610,200,2342452,1.0,0.2305118972707956,0.6830752758165654,0.3541136365914842,0.02177329398222498,0.02177329398222498
Fc Utrecht,Ajax Amsterdam,Ajax,NL1,29. Matchday,2014,1,1,610,200,2459843,1.0,0.2305118972707956,0.6830752758165654,0.3541136365914842,0.02177329398222498,0.02177329398222498
Fc Utrecht,Ajax Amsterdam,Ajax,NL1,16. Matchday,2015,1,0,610,200,2589031,1.0,0.2305118972707956,0.6830752758165654,0.3541136365914842,0.02462583421568887,0.018920753748761093
Fc Utrecht,Ajax Amsterdam,Ajax,NL1,19. Matchday,2016,0,1,610,200,2700793,1.0,0.2305118972707956,0.6830752758165654,0.3541136365914842,0.018920753748761093,0.02462583421568887
Fc Utrecht,Ajax Amsterdam,Ajax,NL1,20. Matchday,2017,0,0,610,200,2877295,1.0,0.2305118972707956,0.6830752758165654,0.3541136365914842,0.02177329398222498,0.02177329398222498
Fc Utrecht,Ajax Amsterdam,Ajax,NL1,17. Matchday,2018,1,3,610,200,3077287,1.0,0.2305118972707956,0.6830752758165654,0.3541136365914842,0.018920753748761093,0.02462583421568887
Fc Utrecht,Ajax Amsterdam,Ajax,NL1,8. Matchday,2020,0,3,610,200,3450597,1.0,0.2305118972707956,0.6830752758165654,0.3541136365914842,0.018920753748761093,0.02462583421568887
Fc Utrecht,Ajax Amsterdam,Ajax,NL1,19. Matchday,2021,0,3,610,200,3597989,1.0,0.2305118972707956,0.6830752758165654,0.3541136365914842,0.018920753748761093,0.02462583421568887
Fc Utrecht,Ajax Amsterdam,Ajax,NL1,4. Matchday,2022,0,2,610,200,3837391,1.0,0.2305118972707956,0.6830752758165654,0.3541136365914842,0.018920753748761093,0.02462583421568887
Vitesse Arnheim,Ajax Amsterdam,Ajax,NL1,20. Matchday,2012,3,2,610,499,2250344,1.0,0.2444385070359242,0.6830752758165654,0.3541136365914842,0.02510415568763099,0.019312107680350098
Vitesse Arnheim,Ajax Amsterdam,Ajax,NL1,31. Matchday,2013,1,1,610,499,2451529,1.0,0.2444385070359242,0.6830752758165654,0.3541136365914842,0.022208131683990544,0.022208131683990544
Vitesse Arnheim,Ajax Amsterdam,Ajax,NL1,20. Matchday,2014,1,0,610,499,2459764,1.0,0.2444385070359242,0.6830752758165654,0.3541136365914842,0.02510415568763099,0.019312107680350098
Vitesse Arnheim,Ajax Amsterdam,Ajax,NL1,10. Matchday,2015,1,3,610,499,2588978,1.0,0.2444385070359242,0.6830752758165654,0.3541136365914842,0.019312107680350098,0.02510415568763099
Vitesse Arnheim,Ajax Amsterdam,Ajax,NL1,23. Matchday,2016,0,1,610,499,2700830,1.0,0.2444385070359242,0.6830752758165654,0.3541136365914842,0.019312107680350098,0.02510415568763099
Vitesse Arnheim,Ajax Amsterdam,Ajax,NL1,26. Matchday,2017,3,2,610,499,2888306,1.0,0.2444385070359242,0.6830752758165654,0.3541136365914842,0.02510415568763099,0.019312107680350098
Vitesse Arnheim,Ajax Amsterdam,Ajax,NL1,4. Matchday,2018,0,4,610,499,3052150,1.0,0.2444385070359242,0.6830752758165654,0.3541136365914842,0.019312107680350098,0.02510415568763099
Vitesse Arnheim,Ajax Amsterdam,Ajax,NL1,1. Matchday,2019,2,2,610,499,3212114,1.0,0.2444385070359242,0.6830752758165654,0.3541136365914842,0.022208131683990544,0.022208131683990544
Vitesse Arnheim,Ajax Amsterdam,Ajax,NL1,34. Matchday,2020,1,3,610,499,3450778,1.0,0.2444385070359242,0.6830752758165654,0.3541136365914842,0.019312107680350098,0.02510415568763099
Vitesse Arnheim,Ajax Amsterdam,Ajax,NL1,34. Matchday,2021,2,2,610,499,3598061,1.0,0.2444385070359242,0.6830752758165654,0.3541136365914842,0.022208131683990544,0.022208131683990544
Vitesse Arnheim,Ajax Amsterdam,Ajax,NL1,23. Matchday,2022,1,2,610,499,3852708,1.0,0.2444385070359242,0.6830752758165654,0.3541136365914842,0.019312107680350098,0.02510415568763099
Fc Twente Enschede,Ajax Amsterdam,Ajax,NL1,25. Matchday,2012,0,2,610,317,2250387,1.0,0.2543311370150328,0.6830752758165654,0.3541136365914842,0.019590102088276537,0.02544392663065219
Fc Twente Enschede,Ajax Amsterdam,Ajax,NL1,10. Matchday,2013,1,1,610,317,2342343,1.0,0.2543311370150328,0.6830752758165654,0.3541136365914842,0.022517014359464363,0.022517014359464363
Fc Twente Enschede,Ajax Amsterdam,Ajax,NL1,9. Matchday,2014,1,1,610,317,2459662,1.0,0.2543311370150328,0.6830752758165654,0.3541136365914842,0.022517014359464363,0.022517014359464363
Fc Twente Enschede,Ajax Amsterdam,Ajax,NL1,5. Matchday,2015,2,2,610,317,2588929,1.0,0.2543311370150328,0.6830752758165654,0.3541136365914842,0.022517014359464363,0.022517014359464363
Fc Twente Enschede,Ajax Amsterdam,Ajax,NL1,16. Matchday,2016,1,0,610,317,2700769,1.0,0.2543311370150328,0.6830752758165654,0.3541136365914842,0.02544392663065219,0.019590102088276537
