age,Valore Reale,Valore Predetto,club_name,player_name,position,club_involved_name,season
19.0,0.02,0.023255609,Parma FC,Marijan Coric,Goalkeeper,Istra 1961 U19,2014/2015
23.0,30.0,17.866222,West Ham United,Nikola Vlasic,Attacking Midfield,CSKA Moscow,2021/2022
22.0,22.0,21.325583,VfL Wolfsburg,Kevin De Bruyne,Attacking Midfield,Chelsea,2013/2014
32.0,3.0,1.2608148,Bologna FC 1909,Marko Arnautovic,Centre-Forward,SH Port,2021/2022
22.0,15.0,14.042567,RB Leipzig,Bruma,Left Winger,Galatasaray,2017/2018
23.0,2.5,1.3948388,FK Krasnodar,Igor Smolnikov,Right-Back,Rostov,2012/2013
22.0,1.0,3.0096743,FC Metz,Warren Tchimbembé,Right Winger,Troyes,2020/2021
33.0,1.4,4.784562,Aston Villa,Joleon Lescott,Centre-Back,West Brom,2015/2016
26.0,11.0,8.39585,FC Internazionale,Fredy Guarín,Central Midfield,FC Porto,2012/2013
20.0,3.5,3.500446,Dijon FCO,Mounir Chouiar,Left Winger,Lens,2019/2020
21.0,1.0,1.2012957,1.FC Nuremberg,Ondrej Petrak,Defensive Midfield,Slavia Prague,2013/2014
25.0,5.0,6.640989,Levante UD,Rúben Vezo,Centre-Back,Valencia,2019/2020
26.0,8.8,9.964789,Swansea City,Alberto Paloschi,Centre-Forward,Chievo Verona,2015/2016
23.0,5.0,5.8994594,SSC Napoli,Rafael,Goalkeeper,Santos FC,2013/2014
22.0,20.0,15.741126,Leicester City,Boubakary Soumaré,Defensive Midfield,LOSC Lille,2021/2022
21.0,2.0,3.6264303,Eintracht Frankfurt,Ragnar Ache,Centre-Forward,Sparta R.,2020/2021
18.0,5.0,4.0463223,Olympique Lyon,Lenny Pintor,Left Winger,Stade Brestois,2018/2019
21.0,0.5,1.7031393,Montpellier HSC,Jean Deza,Left Winger,U. San Martín,2014/2015
25.0,7.35,7.7123733,AS Roma,Mapou Yanga-Mbiwa,Centre-Back,Newcastle,2014/2015
29.0,5.0,6.5496225,AS Monaco,Jérémy Toulalan,Defensive Midfield,Málaga CF,2013/2014
27.0,13.0,26.837141,FC Barcelona,Jasper Cillessen,Goalkeeper,Ajax,2016/2017
26.0,5.8,8.482368,Burnley FC,Ashley Westwood,Defensive Midfield,Aston Villa,2016/2017
24.0,3.5,3.926719,Dinamo Moscow,Nikolay Komlichenko,Centre-Forward,Mlada Boleslav,2019/2020
24.0,20.5,15.527348,Nottingham Forest,Taiwo Awoniyi,Centre-Forward,Union Berlin,2022/2023
24.0,3.8,2.3045943,Bologna FC 1909,Ladislav Krejci,Left Midfield,Sparta Prague,2016/2017
25.0,12.6,13.651375,Tottenham Hotspur,Hugo Lloris,Goalkeeper,Olympique Lyon,2012/2013
18.0,18.0,14.265728,Chelsea FC,Carney Chukwuemeka,Central Midfield,Aston Villa,2022/2023
25.0,4.0,4.623808,ACF Fiorentina,Milan Badelj,Defensive Midfield,Hamburger SV,2014/2015
26.0,6.0,3.7496746,Getafe CF,Pedro León,Right Winger,Real Madrid,2013/2014
30.0,2.0,6.768239,UC Sampdoria,Lorenzo Tonelli,Centre-Back,SSC Napoli,2020/2021
21.0,2.0,3.7789452,UC Sampdoria,Stefano Beltrame,Attacking Midfield,Juventus,2014/2015
19.0,9.0,5.689971,Borussia Mönchengladbach,Kouadio Koné,Central Midfield,Toulouse,2020/2021
24.0,6.0,6.809226,LOSC Lille,Léo Jardim,Goalkeeper,Rio Ave FC,2019/2020
23.0,2.0,3.6942885,SC Freiburg,Lucas Höler,Centre-Forward,SV Sandhausen,2017/2018
22.0,4.0,2.8661678,Sporting CP,Marcos Rojo,Centre-Back,Spartak Moscow,2012/2013
31.0,1.0,2.7966268,VfB Stuttgart,Genki Haraguchi,Attacking Midfield,Union Berlin,2022/2023
27.0,12.0,5.628648,Olympique Marseille,Pau López,Goalkeeper,AS Roma,2022/2023
24.0,6.0,12.0384445,Newcastle United,Daryl Janmaat,Centre-Back,Feyenoord,2014/2015
