age,Valore Reale,Valore Predetto,club_name,player_name,position,club_involved_name,season
26.0,4.5,4.0366664,Olympique Marseille,Luan Peres,Centre-Back,Santos FC,2021/2022
27.0,4.0,4.6339226,Celta de Vigo,Franco Cervi,Left Winger,Benfica,2021/2022
20.0,0.02,2.9157202,US Sassuolo,Pietro Cianci,Centre-Forward,Andria,2016/2017
24.0,6.0,4.6893253,Real Sociedad,Willian José,Centre-Forward,Maldonado,2016/2017
29.0,0.85,2.186867,PSV Eindhoven,Stijn Schaars,Defensive Midfield,Sporting CP,2013/2014
24.0,15.0,34.730164,Paris Saint-Germain,Renato Sanches,Central Midfield,LOSC Lille,2022/2023
25.0,1.5,3.1830876,FC Porto,Fernando Andrade,Second Striker,Santa Clara,2018/2019
29.0,0.6,2.3980067,Levante UD,Mitchell Langerak,Goalkeeper,VfB Stuttgart,2017/2018
23.0,2.1,6.8991656,Crystal Palace,Barry Bannan,Central Midfield,Aston Villa,2013/2014
31.0,2.6,13.874189,Nottingham Forest,Willy Boly,Centre-Back,Wolves,2022/2023
24.0,0.2,2.5674202,FC Famalicão,Enea Mihaj,Centre-Back,PAOK Salonika,2022/2023
20.0,1.5,3.6167433,VfB Stuttgart,Joshua Kimmich,Defensive Midfield,RB Leipzig,2015/2016
29.0,12.0,10.173792,AS Monaco,Nacer Chadli,Left Winger,West Brom,2018/2019
25.0,3.25,3.7949402,SS Lazio,Mattia Sprocati,Right Winger,Salernitana,2018/2019
24.0,0.3,0.9706662,Levante UD,Toño García,Left-Back,Recr. Huelva,2014/2015
32.0,3.0,2.5786588,Olympique Marseille,Steve Mandanda,Goalkeeper,Crystal Palace,2017/2018
28.0,3.8,9.910479,Wigan Athletic,Arouna Koné,Centre-Forward,Levante,2012/2013
28.0,24.0,5.1980786,Athletic Bilbao,Yuri Berchiche,Left-Back,Paris SG,2018/2019
20.0,6.0,3.8953083,Real Betis Balompié,Emerson Royal,Right-Back,Barcelona,2018/2019
27.0,67.8,31.192667,Manchester City,Riyad Mahrez,Right Winger,Leicester,2018/2019
25.0,4.0,3.2768805,FK Krasnodar,Stanislav Kritsyuk,Goalkeeper,SC Braga,2016/2017
22.0,0.6,2.1358187,SV Darmstadt 98,Patrick Banggaard,Centre-Back,FC Midtjylland,2016/2017
21.0,2.5,4.8209653,VfL Wolfsburg,Kilian Fischer,Right-Back,1.FC Nuremberg,2022/2023
23.0,0.2,2.2041042,FK Orenburg,Kirill Kaplenko,Defensive Midfield,Zenit 2 S-Pb,2022/2023
20.0,2.5,0.7804271,Sporting CP,Jonathan Silva,Left-Back,Estudiantes,2014/2015
23.0,4.3,3.9976075,Torino FC,Davide Zappacosta,Right-Back,Atalanta BC,2015/2016
29.0,15.0,13.218723,Leicester City,Vicente Iborra,Central Midfield,Sevilla FC,2017/2018
23.0,1.4,7.00602,Reading FC,Nick Blackman,Centre-Forward,Sheff Utd,2012/2013
27.0,8.5,22.706017,Chelsea FC,Demba Ba,Centre-Forward,Newcastle,2012/2013
19.0,6.0,2.1108406,Udinese Calcio,Matheus Martins,Left Winger,Fluminense,2022/2023
17.0,0.253,0.89639384,Granada CF,Francisco Sierralta,Centre-Back,U. Católica,2014/2015
28.0,6.0,12.78623,Valencia CF,Denis Cheryshev,Left Winger,Villarreal,2019/2020
20.0,4.0,3.6696322,CSKA Moscow,Ivan Oblyakov,Central Midfield,Ufa,2018/2019
21.0,2.5,2.601713,TSG 1899 Hoffenheim,Afriyie Acquah,Central Midfield,US Palermo,2012/2013
21.0,55.0,22.6693,FC Barcelona,Ferran Torres,Left Winger,Man City,2021/2022
19.0,0.8,1.4314797,AS Saint-Étienne,Alexandros Katranis,Left-Back,Atromitos Athen,2017/2018
20.0,2.5,3.2244666,Genoa CFC,Kevin Agudelo,Right Winger,Atlético Huila,2019/2020
24.0,3.6,6.411446,Stoke City,Erik Pieters,Left-Back,PSV Eindhoven,2013/2014
25.0,10.2,10.334587,West Ham United,Jordan Hugill,Centre-Forward,Preston,2017/2018
22.0,25.0,44.906178,Paris Saint-Germain,Layvin Kurzawa,Left-Back,Monaco,2015/2016
19.0,0.36,7.3585725,Newcastle United,Ivan Toney,Centre-Forward,Northampton,2015/2016
19.0,5.5,3.8087957,Olympique Marseille,Isaak Touré,Centre-Back,AC Le Havre,2022/2023
24.0,1.3,5.5668116,Burnley FC,Nick Pope,Goalkeeper,Charlton,2016/2017
26.0,0.5,2.7073452,Levante UD,Jesús Fernández,Goalkeeper,Real Madrid,2014/2015
26.0,1.0,5.3324656,SD Huesca,Pablo Insua,Centre-Back,FC Schalke 04,2020/2021
20.0,1.2,2.1701396,FK Krasnodar,Olakunle Olusegun,Left Winger,Botev Plovdiv,2022/2023
21.0,1.0,1.2372941,Udinese Calcio,Alexandre Coeff,Centre-Back,Lens,2013/2014
30.0,2.0,1.7220148,Bologna FC 1909,Sebastien De Maio,Centre-Back,RSC Anderlecht,2017/2018
26.0,15.0,5.845217,AS Roma,Radja Nainggolan,Central Midfield,Cagliari Calcio,2014/2015
27.0,2.5,1.640834,1.FSV Mainz 05,Jonas Lössl,Goalkeeper,Guingamp,2016/2017
30.0,11.0,9.301356,AS Roma,Edin Dzeko,Centre-Forward,Man City,2016/2017
21.0,19.0,7.8721766,Olympique Marseille,Duje Caleta-Car,Centre-Back,RB Salzburg,2018/2019
23.0,40.0,18.326067,AS Roma,Tammy Abraham,Centre-Forward,Chelsea,2021/2022
23.0,2.0,3.312081,Levante UD,Erick Cabaco,Centre-Back,Nacional,2018/2019
22.0,8.8,19.811743,Chelsea FC,César Azpilicueta,Right-Back,Marseille,2012/2013
31.0,2.5,5.3089924,West Ham United,Alou Diarra,Defensive Midfield,Marseille,2012/2013
28.0,1.3,3.419378,FC Augsburg,Nikola Djurdjic,Centre-Forward,Greuther Fürth,2014/2015
26.0,0.3,1.9905286,SM Caen,Damien Da Silva,Centre-Back,Clermont Foot,2014/2015
28.0,15.0,19.138912,Arsenal FC,Mathieu Debuchy,Right-Back,Newcastle,2014/2015
23.0,30.0,17.020817,Tottenham Hotspur,Sergio Reguilón,Left-Back,Real Madrid,2020/2021
29.0,12.0,18.548456,Juventus FC,Filip Kostic,Left Midfield,E. Frankfurt,2022/2023
24.0,8.0,7.0471396,Bayer 04 Leverkusen,Admir Mehmedi,Second Striker,SC Freiburg,2015/2016
19.0,2.5,4.2756805,ACF Fiorentina,Marko Bakic,Central Midfield,Torino,2013/2014
22.0,30.0,13.922608,AS Monaco,Keita Baldé,Centre-Forward,Lazio,2017/2018
18.0,1.2,1.4830993,Dynamo Moscow,Milan Majstorovic,Centre-Back,Vojvodina U19,2022/2023
20.0,1.1,2.6247628,FC Groningen,Jörgen Strand Larsen,Centre-Forward,Sarpsborg 08,2020/2021
24.0,3.5,11.82147,Hellas Verona,Pawel Dawidowicz,Centre-Back,Benfica,2019/2020
24.0,2.0,1.7350584,FC Girondins Bordeaux,Pablo,Centre-Back,Ponte Preta,2015/2016
23.0,5.5,5.6870847,Norwich City,Leroy Fer,Defensive Midfield,Twente FC,2013/2014
25.0,20.7,15.941466,West Ham United,Maxwel Cornet,Left Winger,Burnley,2022/2023
22.0,10.0,21.093536,Paris Saint-Germain,Serge Aurier,Right-Back,Toulouse,2015/2016
20.0,3.8,3.0858433,Sporting CP,Idrissa Doumbia,Defensive Midfield,Akhmat Grozny,2018/2019
19.0,4.1,2.3074234,FC Famalicão,Manuel Ugarte,Defensive Midfield,CA Fénix,2020/2021
21.0,3.0,2.4107902,Lokomotiv Moscow,Lucas Fasson,Centre-Back,Athletico-PR,2022/2023
30.0,1.2,4.9339676,SL Benfica,Eliseu,Left-Back,Málaga CF,2014/2015
27.0,7.6,4.199849,Stade Rennais FC,Edouard Mendy,Goalkeeper,Stade Reims,2019/2020
25.0,4.5,5.7677507,Zenit St. Petersburg,Mateo Cassierra,Centre-Forward,Sochi,2022/2023
32.0,3.5,10.256604,Aston Villa,Robin Olsen,Goalkeeper,AS Roma,2022/2023
28.0,1.0,1.5683966,1.FC Union Berlin,Frederik Rönnow,Goalkeeper,E. Frankfurt,2021/2022
21.0,3.5,4.1646323,Lokomotiv Moscow,Wilson Isidor,Centre-Forward,Monaco,2021/2022
20.0,3.8,3.5282948,Ajax Amsterdam,Mike van der Hoorn,Centre-Back,FC Utrecht,2013/2014
18.0,5.8,8.937925,Leeds United,Darko Gyabi,Central Midfield,Man City U21,2022/2023
30.0,2.5,1.068247,Udinese Calcio,Marco Silvestri,Goalkeeper,Hellas Verona,2021/2022
27.0,4.0,5.0615425,Athletic Bilbao,Kike Sola,Centre-Forward,CA Osasuna,2013/2014
24.0,4.1,2.8804972,FC Sochi,Victorien Angban,Central Midfield,FC Metz,2021/2022
19.0,2.2,2.1102679,Angers SCO,Ousmane Camara,Centre-Back,Paris FC,2022/2023
19.0,1.5,4.1881914,VfL Wolfsburg,Kaylen Hinds,Second Striker,Arsenal U23,2017/2018
26.0,0.2,2.060304,Krylya Sovetov Samara,Glenn Bijl,Right-Back,FC Emmen,2021/2022
31.0,2.0,3.3345535,Sevilla FC,Beto,Goalkeeper,SC Braga,2013/2014
21.0,25.0,12.195717,Leicester City,James Maddison,Attacking Midfield,Norwich,2018/2019
24.0,12.5,4.7450376,Spartak Moscow,Fernando,Defensive Midfield,Sampdoria,2016/2017
20.0,0.25,1.5254653,FC Nizhniy Novgorod,Ibrokhimkhalil Yuldoshev,Left-Back,Pakhtakor,2021/2022
34.0,1.7,11.102841,Inter Milan,Ashley Young,Left-Back,Man Utd,2019/2020
19.0,2.5,3.536301,Atalanta BC,Bryan Cabezas,Left Winger,Independiente,2016/2017
21.0,1.0,5.2827177,Ajax Amsterdam,Jay Gorter,Goalkeeper,Go Ahead Eagles,2021/2022
27.0,3.0,4.3609486,Zenit St. Petersburg,Yohan Mollo,Right Winger,KS Samara,2016/2017
22.0,1.0,2.2742069,Akhmat Grozny,Ismael Silva,Central Midfield,Kalmar FF,2017/2018
21.0,0.18,2.8459923,SS Lazio,Fabio Maistro,Central Midfield,Rieti,2019/2020
25.0,0.75,2.0800297,Stade Rennais FC,Ermir Lenjani,Left-Back,FC St. Gallen,2014/2015
25.0,3.0,6.479437,LOSC Lille,Reinildo Mandava,Left-Back,B SAD,2019/2020
18.0,0.48,2.0644805,Cagliari Calcio,Kwang-song Han,Centre-Forward,ISM Academy,2016/2017
24.0,2.0,1.802085,FC Augsburg,Jeong-ho Hong,Centre-Back,Jeju United,2013/2014
19.0,4.0,6.046667,AS Monaco,Thomas Lemar,Attacking Midfield,SM Caen,2015/2016
27.0,5.6,7.411829,Sheffield United,Luke Freeman,Attacking Midfield,QPR,2019/2020
21.0,12.0,5.1137395,OGC Nice,Alexis Beka Beka,Defensive Midfield,Loko Moscow,2022/2023
20.0,1.9,3.7229002,Atalanta BC,Gianluca Mancini,Centre-Back,Perugia,2016/2017
22.0,9.0,7.4292803,Torino FC,Perr Schuurs,Centre-Back,Ajax,2022/2023
28.0,1.0,1.5422422,Dynamo Moscow,Guillermo Varela,Right-Back,FC Copenhagen,2021/2022
26.0,5.8,6.86296,Hull City,Tom Huddlestone,Defensive Midfield,Spurs,2013/2014
16.0,20.0,12.955999,AS Monaco,Willem Geubbels,Left Winger,Olympique Lyon,2018/2019
23.0,1.82,20.923664,Arsenal FC,Auston Trusty,Centre-Back,Colorado,2021/2022
20.0,2.0,3.2409456,Feyenoord Rotterdam,Neraysho Kasanwirjo,Centre-Back,FC Groningen,2022/2023
21.0,8.1,2.4938705,SV Werder Bremen,Milot Rashica,Right Winger,Vitesse,2017/2018
25.0,30.0,24.712692,Borussia Dortmund,André Schürrle,Left Winger,VfL Wolfsburg,2016/2017
20.0,35.0,17.699629,Chelsea FC,Noni Madueke,Right Winger,PSV Eindhoven,2022/2023
21.0,31.0,18.77149,FC Barcelona,Arthur,Defensive Midfield,Grêmio,2018/2019
29.0,8.5,5.6308856,Spartak Moscow,Quincy Promes,Left Winger,Ajax,2020/2021
20.0,1.2,1.4071401,FC Groningen,Isak Dybvik Määttä,Left-Back,Aalesund,2022/2023
21.0,2.0,1.2913684,Bologna FC 1909,Riccardo Casini,Defensive Midfield,Parma,2013/2014
28.0,0.25,3.6791928,Real Valladolid CF,Jawad El Yamiq,Centre-Back,Genoa,2020/2021
20.0,4.0,3.2277496,UC Sampdoria,Dawid Kownacki,Centre-Forward,Lech Poznan,2017/2018
18.0,2.0,0.7478415,AZ Alkmaar,Milos Kerkez,Left-Back,Milan U19,2021/2022
21.0,1.5,3.6512825,Udinese Calcio,Cristo González,Centre-Forward,RM Castilla,2019/2020
18.0,0.5,0.9047502,Parma FC,Filip Jankovic,Central Midfield,Red Star U19,2013/2014
22.0,11.0,5.040149,Olympique Marseille,Leonardo Balerdi,Centre-Back,Bor. Dortmund,2021/2022
18.0,3.2,31.194952,ACF Fiorentina,Dušan Vlahović,Centre-Forward,Partizan,2018/2019
26.0,8.9,4.9848933,Levante UD,Nikola Vukcevic,Defensive Midfield,SC Braga,2018/2019
26.0,3.5,9.567718,Stoke City,Michael Kightly,Left Winger,Wolves,2012/2013
27.0,9.3,9.265564,Watford FC,Tom Cleverley,Central Midfield,Everton,2017/2018
23.0,80.0,24.818123,Chelsea FC,Kepa Arrizabalaga,Goalkeeper,Athletic,2018/2019
18.0,0.6,4.3851786,AS Saint-Étienne,Neal Maupay,Centre-Forward,OGC Nice,2015/2016
22.0,1.65,4.2751145,Amiens SC,Alexis Blin,Defensive Midfield,Toulouse,2019/2020
22.0,0.75,4.1315875,Torino FC,Brian Bayeye,Right Midfield,Catanzaro,2022/2023
24.0,12.0,31.743435,Paris Saint-Germain,Nordi Mukiele,Right-Back,RB Leipzig,2022/2023
28.0,2.0,3.1208198,SS Lazio,Ivan Provedel,Goalkeeper,Spezia Calcio,2022/2023
21.0,5.8,2.9307163,Torino FC,Bremer,Centre-Back,Atlético-MG,2018/2019
23.0,1.04,4.5600657,Atalanta BC,Hans Hateboer,Right-Back,FC Groningen,2016/2017
26.0,1.5,2.5705783,Cagliari Calcio,Matías Cabrera,midfield,Nacional,2012/2013
22.0,17.8,7.405885,Crystal Palace,Eberechi Eze,Attacking Midfield,QPR,2020/2021
26.0,8.8,6.016693,Crystal Palace,James McArthur,Central Midfield,Wigan,2014/2015
22.0,0.65,2.347584,Gil Vicente FC,Gabriel Pereira,Centre-Back,Vilafranquense,2022/2023
23.0,10.6,12.856641,AC Milan,Léo Duarte,Centre-Back,Flamengo,2019/2020
24.0,19.4,7.7837586,Stoke City,Kevin Wimmer,Centre-Back,Spurs,2017/2018
25.0,5.0,6.176093,Villarreal CF,Tomás Pina,Central Midfield,RCD Mallorca,2013/2014
22.0,20.0,5.4758964,FC Porto,David Carmo,Centre-Back,SC Braga,2022/2023
24.0,8.25,4.4280353,FC Nantes,Anthony Limbombe,Left Winger,Club Brugge,2018/2019
25.0,9.0,4.5331063,ACF Fiorentina,Josip Ilicic,Second Striker,US Palermo,2013/2014
31.0,1.5,0.9791209,Anzhi Makhachkala ( -2022),Benoît Angbwa,Right-Back,KS Samara,2013/2014
24.0,1.9,2.2652018,Juventus FC,Vincenzo Fiorillo,Goalkeeper,Sampdoria,2014/2015
25.0,8.0,2.347584,RCD Espanyol Barcelona,César Montes,Centre-Back,Monterrey,2022/2023
26.0,29.5,19.6645,AS Roma,Leonardo Spinazzola,Left-Back,Juventus,2019/2020
25.0,1.0,2.6910098,UC Sampdoria,Abdelhamid Sabiri,Attacking Midfield,Ascoli,2022/2023
25.0,0.2,0.7924405,AZ Alkmaar,Yves De Winter,Goalkeeper,De Graafschap,2012/2013
24.0,4.0,18.133673,Liverpool FC,Oussama Assaidi,Left Winger,Heerenveen,2012/2013
23.0,5.4,2.4669278,Anzhi Makhachkala ( -2022),Ewerton,Centre-Back,Coimbra-MG,2012/2013
26.0,1.2,2.9588592,Empoli FC,Omar El Kaddouri,Attacking Midfield,SSC Napoli,2016/2017
20.0,7.0,4.607322,FC Porto,Éder Militão,Centre-Back,São Paulo,2018/2019
25.0,2.7,2.7314098,RCD Espanyol Barcelona,Cristhian Stuani,Centre-Forward,Reggina,2012/2013
24.0,60.0,24.30805,Bayern Munich,Leroy Sané,Left Winger,Man City,2020/2021
25.0,1.0,3.6063035,Nîmes Olympique,Haris Duljevic,Left Winger,Dynamo Dresden,2019/2020
26.0,0.5,2.074466,FC Sochi,Artem Meshchaninov,Centre-Back,Baltika,2022/2023
26.0,14.0,16.350254,Leicester City,Rachid Ghezzal,Right Winger,Monaco,2018/2019
21.0,2.65,1.3209997,FC Toulouse,Dominik Furman,Central Midfield,Legia Warszawa,2013/2014
32.0,2.0,1.5730442,Genoa CFC,Felipe Caicedo,Centre-Forward,Lazio,2021/2022
32.0,3.0,1.2894312,SD Huesca,Enric Gallego,Centre-Forward,Extremadura,2018/2019
22.0,0.35,2.6568167,RC Lens,Lukasz Poreba,Defensive Midfield,Zaglebie Lubin,2022/2023
23.0,2.0,2.3399165,FC Lorient,Cafú,Central Midfield,Vit. Guimarães,2016/2017
27.0,0.2,1.9065524,FK Orenburg,Denis Popovic,Attacking Midfield,Wisla Kraków,2016/2017
21.0,2.3,1.3608836,UC Sampdoria,Alessandro De Vitis,Defensive Midfield,Parma,2013/2014
26.0,20.0,8.336038,Villarreal CF,Gerard Moreno,Centre-Forward,Espanyol,2018/2019
19.0,0.21,4.60889,Swansea City,Botti Biabi,Centre-Forward,Falkirk,2015/2016
21.0,1.5,3.0846703,Empoli FC,Samuel Mraz,Centre-Forward,MSK Zilina,2018/2019
26.0,3.0,2.5705783,TSG 1899 Hoffenheim,Eugen Polanski,Defensive Midfield,1.FSV Mainz 05,2012/2013
27.0,1.9,1.5851581,TSG 1899 Hoffenheim,Pirmin Schwegler,Defensive Midfield,E. Frankfurt,2014/2015
19.0,15.5,11.440893,Borussia Dortmund,Leonardo Balerdi,Centre-Back,Boca Juniors,2018/2019
23.0,40.0,24.182901,Manchester City,Ederson,Goalkeeper,Benfica,2017/2018
22.0,6.0,2.6725557,Bologna FC 1909,Arthur Theate,Centre-Back,KV Oostende,2022/2023
20.0,0.05,4.8445096,Chievo Verona,Gianluca Gaudino,Central Midfield,Bayern Munich,2017/2018
23.0,0.3,2.2766287,Chievo Verona,Raffaele Pucino,Right-Back,Sassuolo,2014/2015
23.0,3.0,4.154205,FC Porto,Paulinho,Attacking Midfield,Portimonense,2018/2019
25.0,1.0,3.5387318,Real Betis Balompié,Francisco Portillo,Right Winger,Málaga CF,2015/2016
21.0,32.0,11.658318,AC Milan,Charles De Ketelaere,Attacking Midfield,Club Brugge,2022/2023
28.0,0.7,4.4489455,Dinamo Moscow,Toni Sunjic,Centre-Back,VfB Stuttgart,2017/2018
19.0,2.5,0.9047502,Udinese Calcio,Jádson,Central Midfield,Botafogo,2013/2014
28.0,4.0,5.0004587,VfB Stuttgart,Ron-Robert Zieler,Goalkeeper,Leicester,2017/2018
29.0,3.5,4.6297245,AS Saint-Étienne,Ryad Boudebouz,Attacking Midfield,Real Betis,2019/2020
18.0,1.2,10.40623,AS Monaco,Lyle Foster,Centre-Forward,Orlando Pirates,2018/2019
30.0,1.0,13.405431,AC Milan,Fernando Torres,Centre-Forward,Chelsea,2014/2015
23.0,11.4,8.477037,Cardiff City,Josh Murphy,Left Winger,Norwich,2018/2019
26.0,3.14,7.109777,ACF Fiorentina,Matías Fernández,Attacking Midfield,Sporting CP,2012/2013
28.0,1.5,6.0480933,Norwich City,Javier Garrido,Left-Back,Lazio,2013/2014
28.0,1.0,2.3234146,Sporting CP,Douglas,Centre-Back,Trabzonspor,2016/2017
24.0,1.0,0.9938882,Cagliari Calcio,Danilo Avelar,Left-Back,Karpaty,2013/2014
18.0,0.61,0.9047502,Udinese Calcio,Clifford Aboagye,Central Midfield,Inter Allies,2013/2014
23.0,44.7,21.020477,Liverpool FC,Diogo Jota,Left Winger,Wolves,2020/2021
28.0,1.0,2.2877948,Torino FC,Guillermo Rodríguez,Centre-Back,Cesena,2012/2013
25.0,17.0,6.763488,Real Sociedad,Asier Illarramendi,Defensive Midfield,Real Madrid,2015/2016
24.0,0.2,2.2013638,Girona FC,Jairo Izquierdo,Left-Back,Extremadura,2018/2019
30.0,4.0,8.717762,Leicester City,Jonny Evans,Centre-Back,West Brom,2018/2019
25.0,0.1,2.2503793,RKC Waalwijk,Teddy Chevalier,Centre-Forward,Zulte Waregem,2012/2013
32.0,15.1,8.935719,Tottenham Hotspur,Fernando Llorente,Centre-Forward,Swansea,2017/2018
21.0,6.5,9.174468,Huddersfield Town,Ramadan Sobhi,Left Winger,Stoke City,2018/2019
22.0,35.0,37.08979,Manchester United,Victor Lindelöf,Centre-Back,Benfica,2017/2018
29.0,10.0,3.5759466,Stade Reims,Junya Ito,Right Winger,KRC Genk,2022/2023
29.0,6.5,5.679017,1. FC Köln,Sebastian Andersson,Centre-Forward,Union Berlin,2020/2021
22.0,0.25,3.414706,Moreirense FC,Luiz Henrique,Attacking Midfield,Náutico,2019/2020
28.0,0.4,2.5710423,PSV Eindhoven,Eloy Room,Goalkeeper,Vitesse,2017/2018
27.0,0.8,2.66423,Dinamo Moscow,Abdul-Aziz Tetteh,Defensive Midfield,Lech Poznan,2017/2018
25.0,3.5,6.7468367,AS Roma,Marquinho,Attacking Midfield,Fluminense,2012/2013
21.0,13.3,11.924914,Aston Villa,Ezri Konsa,Centre-Back,Brentford,2019/2020
20.0,0.55,1.3141471,FC Groningen,Alexander Sörloth,Centre-Forward,Rosenborg,2015/2016
29.0,20.0,14.166145,Borussia Dortmund,Axel Witsel,Defensive Midfield,TJ Tianhai,2018/2019
21.0,3.5,5.2041955,SC Braga,Galeno,Left Midfield,FC Porto,2019/2020
21.0,75.0,13.919686,SSC Napoli,Victor Osimhen,Centre-Forward,LOSC Lille,2020/2021
19.0,0.25,6.6280227,SSC Napoli,Igor Lasicki,Centre-Back,Lubin II,2013/2014
26.0,0.5,0.86149204,AZ Alkmaar,Stijn Wuytens,Centre-Back,Willem II,2015/2016
28.0,5.0,7.168761,Villarreal CF,Gerónimo Rulli,Goalkeeper,Real Sociedad,2020/2021
27.0,23.6,15.609887,Inter Milan,Joaquín Correa,Second Striker,Lazio,2022/2023
24.0,6.82,10.7696905,Manchester City,Zack Steffen,Goalkeeper,Columbus Crew,2019/2020
21.0,1.1,2.3028443,Real Betis Balompié,Nosa Igiebor,Central Midfield,Hapoel Tel Aviv,2012/2013
23.0,6.0,11.545212,West Ham United,Pedro Obiang,Central Midfield,Sampdoria,2015/2016
20.0,8.0,9.270787,Everton FC,Henry Onyekuru,Left Winger,KAS Eupen,2017/2018
32.0,3.5,0.9092953,Spartak Moscow,Aleksandr Samedov,Right Winger,Loko Moscow,2016/2017
24.0,1.8,2.4995883,SD Huesca,Javi Galán,Left-Back,Córdoba CF,2018/2019
25.0,0.215,3.6517398,FK Ufa,Vladislav Kamilov,Central Midfield,SKA Khabarovsk,2020/2021
36.0,15.0,87.87191,Manchester United,Cristiano Ronaldo,Centre-Forward,Juventus,2021/2022
22.0,20.0,19.052853,Borussia Dortmund,Nico Schlotterbeck,Centre-Back,SC Freiburg,2022/2023
22.0,7.22,5.7968616,FC Porto,Luis Díaz,Left Winger,Junior FC,2019/2020
27.0,10.0,5.340381,Real Sociedad,Portu,Right Winger,Girona,2019/2020
21.0,5.5,2.3499138,PSV Eindhoven,Angeliño,Left-Back,Man City U23,2018/2019
21.0,3.5,1.2651153,Twente Enschede FC,Hakim Ziyech,Attacking Midfield,Heerenveen,2014/2015
21.0,1.0,2.3181617,Spezia Calcio,Emil Kornvig,Central Midfield,Lyngby BK,2021/2022
21.0,2.0,5.1262617,FC Girondins Bordeaux,Jean Onana,Defensive Midfield,LOSC Lille,2021/2022
29.0,1.0,2.3033903,Celta de Vigo,Michael Krohn-Dehli,Central Midfield,Bröndby IF,2012/2013
22.0,1.0,6.603888,Sevilla FC,Diogo Figueiras,Right-Back,Paços Ferreira,2013/2014
27.0,15.0,12.749412,Atlético de Madrid,Geoffrey Kondogbia,Defensive Midfield,Valencia,2020/2021
31.0,5.2,5.047503,Middlesbrough FC,Adlène Guédioura,Central Midfield,Watford,2016/2017
23.0,5.3,6.1012597,ACF Fiorentina,Igor,Centre-Back,SPAL,2021/2022
25.0,3.5,4.8503947,Valencia CF,Lucas Orbán,Centre-Back,G. Bordeaux,2014/2015
19.0,10.0,3.731403,OGC Nice,Myziane Maolida,Left Winger,Olympique Lyon,2018/2019
19.0,8.0,3.7744014,Genoa CFC,Elia Petrelli,Centre-Forward,Juventus U23,2020/2021
23.0,9.0,18.177855,Bayern Munich,Marc Roca,Defensive Midfield,Espanyol,2020/2021
23.0,1.65,2.4201715,Vitória Guimarães SC,Sebastián Rincón,Right Winger,Tigre,2017/2018
27.0,0.8,2.2182796,Deportivo de La Coruña,Raúl Albentosa,Centre-Back,Derby,2016/2017
24.0,11.8,6.521114,Sunderland AFC,Wahbi Khazri,Centre-Forward,G. Bordeaux,2015/2016
31.0,4.5,5.9299316,AC Milan,Junior Messias,Right Winger,Crotone,2022/2023
25.0,0.5,4.4037642,Spartak Moscow,Jorrit Hendrix,Defensive Midfield,PSV Eindhoven,2020/2021
28.0,4.5,2.9782302,FK Krasnodar,Naldo,Centre-Back,Sporting CP,2016/2017
34.0,1.5,3.9884207,Villarreal CF,Javi Fuego,Defensive Midfield,Espanyol,2017/2018
21.0,4.0,1.970891,SS Lazio,Jordan Lukaku,Left-Back,KV Oostende,2016/2017
22.0,2.0,2.5782025,Hertha BSC,Lukas Klünter,Right-Back,1. FC Köln,2018/2019
23.0,5.0,5.4039607,CD Leganés,José Manuel Arnáiz,Left Winger,Barcelona B,2018/2019
23.0,0.6,1.902555,PEC Zwolle,Xavier Mous,Goalkeeper,SC Cambuur,2019/2020
22.0,0.575,2.2128012,Feyenoord Rotterdam,Mats Wieffer,Central Midfield,Excelsior,2022/2023
25.0,5.0,5.313514,Stade Brestois 29,Steve Mounié,Centre-Forward,Huddersfield,2020/2021
20.0,6.0,7.959219,FC Schalke 04,Hamza Mendyl,Left-Back,LOSC Lille,2018/2019
25.0,3.75,3.9539807,Sporting CP,Nuno Santos,Left Winger,Rio Ave FC,2020/2021
24.0,1.1,1.6931851,FC Nantes,Lucas Lima,Left-Back,Arouca,2016/2017
25.0,8.5,2.2495382,FC Empoli,Guglielmo Vicario,Goalkeeper,Cagliari Calcio,2022/2023
23.0,2.35,3.374645,Spartak Moscow,Georgiy Dzhikiya,Centre-Back,Amkar Perm,2016/2017
30.0,9.5,7.14279,US Sassuolo,Vlad Chiriches,Centre-Back,SSC Napoli,2020/2021
21.0,1.5,2.767998,Spezia Calcio,Raimonds Krollis,Centre-Forward,Valmiera,2022/2023
32.0,3.75,7.1271696,Wolverhampton Wanderers,Craig Dawson,Centre-Back,West Ham,2022/2023
26.0,3.5,1.0662272,Udinese Calcio,Iván Piris,Right-Back,Maldonado,2015/2016
26.0,2.5,2.9875271,AS Saint-Étienne,Gabriel Silva,Left-Back,Udinese Calcio,2017/2018
20.0,1.0,2.1143548,Parma FC,Riccardo Casini,Defensive Midfield,Bologna U19,2012/2013
23.0,3.0,2.0415213,Udinese Calcio,Allan,Defensive Midfield,Granada CF,2014/2015
19.0,2.2,5.7203903,AS Monaco,Borja López,Centre-Back,Sporting Gijón,2013/2014
25.0,16.9,9.481294,Burnley FC,Ben Gibson,Centre-Back,Middlesbrough,2018/2019
19.0,2.2,5.373406,Sevilla FC,Jairo Samperio,Left Winger,Racing,2013/2014
33.0,0.3,1.3017992,Torino FC,Etrit Berisha,Goalkeeper,SPAL,2022/2023
28.0,12.5,10.825988,Sevilla FC,Luuk de Jong,Centre-Forward,PSV Eindhoven,2019/2020
