club_name,age,player_name,position,club_involved_name,season,Valore Reale,Valore Predetto,Differenza
0,30.0,5,0,2,2020,60.0,75.7765,15.776499999999999
3,25.0,3,3,2,2019,65.0,46.0012,-18.998800000000003
2,28.0,1,3,3,2019,37.0,40.92249999999999,3.9224999999999923
2,24.0,0,2,0,2020,76.0,36.987899999999996,-39.012100000000004
1,20.0,4,0,2,2020,10.0,13.343099999999998,3.343099999999998
1,19.0,2,1,2,2020,8.0,12.164999999999997,4.164999999999997
2,19.0,6,2,1,2020,23.3,19.822499999999998,-3.4775000000000027
