club_home_name,club_away_name,competition_id,round,season,home_club_goals,away_club_goals,away_club_id,home_club_id,game_id,peso round,Overall_home,name22,Overall_away,similarity_score,club_name,_id
Fc Twente Enschede,Ajax Amsterdam,NL1,25. Matchday,2012,0,2,610,317,2250387,1.0,0.2543311370150328,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Twente Enschede,Ajax Amsterdam,NL1,10. Matchday,2013,1,1,610,317,2342343,1.0,0.2543311370150328,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Twente Enschede,Ajax Amsterdam,NL1,9. Matchday,2014,1,1,610,317,2459662,1.0,0.2543311370150328,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Twente Enschede,Ajax Amsterdam,NL1,5. Matchday,2015,2,2,610,317,2588929,1.0,0.2543311370150328,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Twente Enschede,Ajax Amsterdam,NL1,16. Matchday,2016,1,0,610,317,2700769,1.0,0.2543311370150328,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Twente Enschede,Ajax Amsterdam,NL1,14. Matchday,2017,3,3,610,317,2867372,1.0,0.2543311370150328,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Twente Enschede,Ajax Amsterdam,NL1,15. Matchday,2019,2,5,610,317,3216161,1.0,0.2543311370150328,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Twente Enschede,Ajax Amsterdam,NL1,16. Matchday,2020,1,3,610,317,3450624,1.0,0.2543311370150328,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Twente Enschede,Ajax Amsterdam,NL1,2. Matchday,2021,1,1,610,317,3580979,1.0,0.2543311370150328,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Az Alkmaar,Ajax Amsterdam,NL1,27. Matchday,2012,2,3,610,1090,2250410,1.0,0.3623190732099774,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Az Alkmaar,Ajax Amsterdam,NL1,2. Matchday,2013,3,2,610,1090,2342586,1.0,0.3623190732099774,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Az Alkmaar,Ajax Amsterdam,NL1,2. Matchday,2014,1,3,610,1090,2459600,1.0,0.3623190732099774,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Az Alkmaar,Ajax Amsterdam,NL1,1. Matchday,2015,0,3,610,1090,2588896,1.0,0.3623190732099774,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Az Alkmaar,Ajax Amsterdam,NL1,12. Matchday,2016,2,2,610,1090,2700731,1.0,0.3623190732099774,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Az Alkmaar,Ajax Amsterdam,NL1,17. Matchday,2017,1,2,610,1090,2867601,1.0,0.3623190732099774,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Az Alkmaar,Ajax Amsterdam,NL1,26. Matchday,2018,1,0,610,1090,3141144,1.0,0.3623190732099774,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Az Alkmaar,Ajax Amsterdam,NL1,17. Matchday,2019,1,0,610,1090,3216178,1.0,0.3623190732099774,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Az Alkmaar,Ajax Amsterdam,NL1,20. Matchday,2020,0,3,610,1090,3450747,1.0,0.3623190732099774,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Az Alkmaar,Ajax Amsterdam,NL1,32. Matchday,2021,2,2,610,1090,3598021,1.0,0.3623190732099774,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Az Alkmaar,Ajax Amsterdam,NL1,7. Matchday,2022,2,1,610,1090,3839715,1.0,0.3623190732099774,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Psv Eindhoven,Ajax Amsterdam,NL1,30. Matchday,2012,2,3,610,383,2250435,1.0,0.5016598554621531,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Psv Eindhoven,Ajax Amsterdam,NL1,7. Matchday,2013,4,0,610,383,2342327,1.0,0.5016598554621531,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Psv Eindhoven,Ajax Amsterdam,NL1,25. Matchday,2014,1,3,610,383,2459810,1.0,0.5016598554621531,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Psv Eindhoven,Ajax Amsterdam,NL1,28. Matchday,2015,0,2,610,383,2589142,1.0,0.5016598554621531,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Psv Eindhoven,Ajax Amsterdam,NL1,32. Matchday,2016,1,0,610,383,2700913,1.0,0.5016598554621531,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Psv Eindhoven,Ajax Amsterdam,NL1,31. Matchday,2017,3,0,610,383,2888373,1.0,0.5016598554621531,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Psv Eindhoven,Ajax Amsterdam,NL1,6. Matchday,2018,3,0,610,383,3061055,1.0,0.5016598554621531,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Psv Eindhoven,Ajax Amsterdam,NL1,7. Matchday,2019,1,1,610,383,3216089,1.0,0.5016598554621531,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Psv Eindhoven,Ajax Amsterdam,NL1,24. Matchday,2020,1,1,610,383,3450788,1.0,0.5016598554621531,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Psv Eindhoven,Ajax Amsterdam,NL1,20. Matchday,2021,1,2,610,383,3597955,1.0,0.5016598554621531,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Feyenoord Rotterdam,Ajax Amsterdam,NL1,10. Matchday,2012,2,2,610,234,2250253,1.0,0.4755228705141121,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Feyenoord Rotterdam,Ajax Amsterdam,NL1,26. Matchday,2013,1,2,610,234,2342487,1.0,0.4755228705141121,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Feyenoord Rotterdam,Ajax Amsterdam,NL1,6. Matchday,2014,0,1,610,234,2459637,1.0,0.4755228705141121,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Feyenoord Rotterdam,Ajax Amsterdam,NL1,12. Matchday,2015,1,1,610,234,2588997,1.0,0.4755228705141121,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Feyenoord Rotterdam,Ajax Amsterdam,NL1,10. Matchday,2016,1,1,610,234,2700713,1.0,0.4755228705141121,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Feyenoord Rotterdam,Ajax Amsterdam,NL1,9. Matchday,2017,1,4,610,234,2865082,1.0,0.4755228705141121,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Feyenoord Rotterdam,Ajax Amsterdam,NL1,19. Matchday,2018,6,2,610,234,3141067,1.0,0.4755228705141121,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Feyenoord Rotterdam,Ajax Amsterdam,NL1,32. Matchday,2020,0,3,610,234,3450732,1.0,0.4755228705141121,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Feyenoord Rotterdam,Ajax Amsterdam,NL1,17. Matchday,2021,0,2,610,234,3597927,1.0,0.4755228705141121,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Feyenoord Rotterdam,Ajax Amsterdam,NL1,17. Matchday,2022,1,1,610,234,3852653,1.0,0.4755228705141121,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Groningen,Ajax Amsterdam,NL1,34. Matchday,2012,0,2,610,202,2250470,1.0,0.1684637644633931,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Groningen,Ajax Amsterdam,NL1,5. Matchday,2013,1,1,610,202,2342306,1.0,0.1684637644633931,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Groningen,Ajax Amsterdam,NL1,4. Matchday,2014,2,0,610,202,2459620,1.0,0.1684637644633931,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Groningen,Ajax Amsterdam,NL1,23. Matchday,2015,1,2,610,202,2589094,1.0,0.1684637644633931,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Groningen,Ajax Amsterdam,NL1,25. Matchday,2016,1,1,610,202,2700848,1.0,0.1684637644633931,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Groningen,Ajax Amsterdam,NL1,29. Matchday,2017,1,2,610,202,2888333,1.0,0.1684637644633931,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Groningen,Ajax Amsterdam,NL1,31. Matchday,2018,0,1,610,202,3141182,1.0,0.1684637644633931,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Groningen,Ajax Amsterdam,NL1,20. Matchday,2019,2,1,610,202,3216206,1.0,0.1684637644633931,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Groningen,Ajax Amsterdam,NL1,4. Matchday,2020,1,0,610,202,3450591,1.0,0.1684637644633931,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Groningen,Ajax Amsterdam,NL1,28. Matchday,2021,1,3,610,202,3598030,1.0,0.1684637644633931,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Standard Luttich,Ajax Amsterdam,EL,Group G,2016,1,1,610,3057,2765931,1.0,0.2644385593394481,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Barcelona,Ajax Amsterdam,CL,Group H,2013,4,0,610,131,2367099,1.0,0.7388617566077745,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Barcelona,Ajax Amsterdam,CL,Group F,2014,3,1,610,131,2495313,1.0,0.7388617566077745,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Real Madrid,Ajax Amsterdam,CL,Group D,2012,4,1,610,418,2262234,1.0,1.0,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Real Madrid,Ajax Amsterdam,CL,last 16 2nd leg,2018,1,4,610,418,3135812,1.5,1.0,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Valencia,Ajax Amsterdam,CL,Group H,2019,0,3,610,1049,3252177,1.0,0.3417621449666362,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Getafe,Ajax Amsterdam,EL,intermediate stage 1st leg,2019,2,0,610,3709,3291985,1.0,0.1659531376226571,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Celta Vigo,Ajax Amsterdam,EL,Group G,2016,2,2,610,940,2758695,1.0,0.2637861941259757,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Celtic Glasgow,Ajax Amsterdam,CL,Group H,2013,2,1,610,371,2368436,1.0,0.4992814950925504,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Celtic Glasgow,Ajax Amsterdam,EL,Group A,2015,1,2,610,371,2618782,1.0,0.4992814950925504,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Midtjylland,Ajax Amsterdam,CL,Group D,2020,1,2,610,865,3461755,1.0,0.2537360260951629,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fenerbahce Istanbul,Ajax Amsterdam,EL,Group A,2015,1,0,610,36,2618778,1.0,0.4017067908849758,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Besiktas Istanbul,Ajax Amsterdam,CL,Group C,2021,1,2,610,114,3651121,1.0,0.352613911247977,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Juventus Turin,Ajax Amsterdam,CL,Quarter-Finals 2nd leg,2018,1,2,610,506,3167762,2.5,0.6559170432162352,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Ac Mailand,Ajax Amsterdam,CL,Group H,2013,0,0,610,5,2368489,1.0,0.4904309514245398,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Panathinaikos Athen,Ajax Amsterdam,EL,Group G,2016,1,2,610,265,2754296,1.0,0.0545088976444027,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Ssc Neapel,Ajax Amsterdam,CL,Group A,2022,4,2,610,6195,3911726,1.0,0.5798086887794309,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
As Rom,Ajax Amsterdam,EL,Quarter-Finals 2nd leg,2020,1,1,610,12,3538212,2.5,0.5292433813648545,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Atalanta Bergamo,Ajax Amsterdam,CL,Group D,2020,2,2,610,800,3461740,1.0,0.4268871287106309,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Aek Athen,Ajax Amsterdam,CL,Group E,2018,0,2,610,2441,3098036,1.0,0.1902559061951249,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Go Ahead Eagles Deventer,Ajax Amsterdam,NL1,20. Matchday,2013,0,1,610,1435,2342450,1.0,0.2172036575251884,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Go Ahead Eagles Deventer,Ajax Amsterdam,NL1,22. Matchday,2014,1,2,610,1435,2459782,1.0,0.2172036575251884,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Go Ahead Eagles Deventer,Ajax Amsterdam,NL1,4. Matchday,2016,0,3,610,1435,2700660,1.0,0.2172036575251884,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Go Ahead Eagles Deventer,Ajax Amsterdam,NL1,24. Matchday,2021,2,1,610,1435,3598025,1.0,0.2172036575251884,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Glasgow Rangers,Ajax Amsterdam,CL,Group A,2022,1,3,610,124,3911729,1.0,0.4326395568853222,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
1 Fc Union Berlin,Ajax Amsterdam,EL,intermediate stage 2nd leg,2022,3,1,610,89,3956720,1.0,0.2362615177518444,Ajax,0.6830752758165654,44,Ajax Amsterdam,610
Fc Utrecht,Az Alkmaar,NL1,15. Matchday,2012,2,1,1090,200,2250301,1.0,0.2305118972707956,AZ,0.3623190732099774,40,Fc Cadiz,1090
Fc Utrecht,Az Alkmaar,NL1,4. Matchday,2013,2,0,1090,200,2342284,1.0,0.2305118972707956,AZ,0.3623190732099774,40,Fc Cadiz,1090
Fc Utrecht,Az Alkmaar,NL1,26. Matchday,2014,6,2,1090,200,2459819,1.0,0.2305118972707956,AZ,0.3623190732099774,40,Fc Cadiz,1090
Fc Utrecht,Az Alkmaar,NL1,34. Matchday,2015,1,3,1090,200,2589189,1.0,0.2305118972707956,AZ,0.3623190732099774,40,Fc Cadiz,1090
Fc Utrecht,Az Alkmaar,NL1,3. Matchday,2016,1,2,1090,200,2700650,1.0,0.2305118972707956,AZ,0.3623190732099774,40,Fc Cadiz,1090
Fc Utrecht,Az Alkmaar,NL1,19. Matchday,2017,1,1,1090,200,2877274,1.0,0.2305118972707956,AZ,0.3623190732099774,40,Fc Cadiz,1090
Fc Utrecht,Az Alkmaar,NL1,9. Matchday,2018,2,1,1090,200,3061076,1.0,0.2305118972707956,AZ,0.3623190732099774,40,Fc Cadiz,1090
Fc Utrecht,Az Alkmaar,NL1,14. Matchday,2019,0,3,1090,200,3216146,1.0,0.2305118972707956,AZ,0.3623190732099774,40,Fc Cadiz,1090
Fc Utrecht,Az Alkmaar,NL1,1. Matchday,2020,2,2,1090,200,3402189,1.0,0.2305118972707956,AZ,0.3623190732099774,40,Fc Cadiz,1090
Fc Utrecht,Az Alkmaar,NL1,33. Matchday,2021,2,2,1090,200,3598078,1.0,0.2305118972707956,AZ,0.3623190732099774,40,Fc Cadiz,1090
Fc Utrecht,Az Alkmaar,NL1,9. Matchday,2022,1,2,1090,200,3852582,1.0,0.2305118972707956,AZ,0.3623190732099774,40,Fc Cadiz,1090
Fc Augsburg,Az Alkmaar,EL,group L,2015,4,1,1090,167,2618799,1.0,0.2650571076151561,AZ,0.3623190732099774,40,Fc Cadiz,1090
Olympique Lyon,Az Alkmaar,EL,intermediate stage 2nd leg,2016,7,1,1090,1041,2805682,1.0,0.4702829636089356,AZ,0.3623190732099774,40,Fc Cadiz,1090
Manchester United,Az Alkmaar,EL,group L,2019,4,0,1090,985,3252555,1.0,0.6713299567084755,AZ,0.3623190732099774,40,Fc Cadiz,1090
Vitesse Arnheim,Az Alkmaar,NL1,10. Matchday,2012,1,2,1090,499,2250257,1.0,0.2444385070359242,AZ,0.3623190732099774,40,Fc Cadiz,1090
Vitesse Arnheim,Az Alkmaar,NL1,22. Matchday,2013,0,2,1090,499,2342439,1.0,0.2444385070359242,AZ,0.3623190732099774,40,Fc Cadiz,1090
Vitesse Arnheim,Az Alkmaar,NL1,27. Matchday,2014,3,1,1090,499,2459820,1.0,0.2444385070359242,AZ,0.3623190732099774,40,Fc Cadiz,1090
Vitesse Arnheim,Az Alkmaar,NL1,12. Matchday,2015,0,2,1090,499,2588998,1.0,0.2444385070359242,AZ,0.3623190732099774,40,Fc Cadiz,1090
Vitesse Arnheim,Az Alkmaar,NL1,20. Matchday,2016,2,1,1090,499,2700801,1.0,0.2444385070359242,AZ,0.3623190732099774,40,Fc Cadiz,1090
Vitesse Arnheim,Az Alkmaar,NL1,3. Matchday,2017,1,2,1090,499,2864992,1.0,0.2444385070359242,AZ,0.3623190732099774,40,Fc Cadiz,1090
Vitesse Arnheim,Az Alkmaar,NL1,28. Matchday,2018,2,2,1090,499,3141158,1.0,0.2444385070359242,AZ,0.3623190732099774,40,Fc Cadiz,1090
